time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-2.812901e-03	-2.342424e-06
9.411870642587283e-08	5.913656e-04	-2.784556e-03	-2.269523e-06
1.882374128517457e-07	1.182731e-03	-2.733243e-03	-2.177483e-06
2.823561192776185e-07	1.774095e-03	-2.658961e-03	-2.066303e-06
3.764748257034913e-07	2.365458e-03	-2.561712e-03	-1.935982e-06
4.705935321293641e-07	2.956821e-03	-2.441494e-03	-1.786521e-06
5.647122385552370e-07	3.548183e-03	-2.298309e-03	-1.617921e-06
6.588309449811095e-07	4.139545e-03	-2.132155e-03	-1.430180e-06
1.100507201674859e-06	6.914636e-03	-1.101517e-03	-3.400617e-07
1.631633826033298e-06	1.025168e-02	5.681465e-04	1.329407e-06
2.156464765875704e-06	1.354905e-02	2.636942e-03	3.328181e-06
2.785084158043355e-06	1.749831e-02	5.580275e-03	6.110056e-06
3.717407263365024e-06	2.335504e-02	1.056585e-02	1.075275e-05
4.975870311274443e-06	3.125922e-02	1.803193e-02	1.763312e-05
6.747043285870404e-06	4.238022e-02	2.934689e-02	2.798893e-05
8.970540276847619e-06	5.633373e-02	4.418730e-02	4.151857e-05
1.175564219006282e-05	7.379574e-02	6.317614e-02	5.879741e-05
2.115041375225484e-05	1.325012e-01	1.276215e-01	1.173883e-04
4.068166375225484e-05	2.528360e-01	2.600367e-01	2.377487e-04
6.021291375225484e-05	3.693680e-01	3.885491e-01	3.545443e-04
7.974416375225484e-05	4.803444e-01	5.111757e-01	4.659724e-04
9.927541375225483e-05	5.840960e-01	6.260722e-01	5.703574e-04
1.188066637522548e-04	6.790621e-01	7.315108e-01	6.661292e-04
1.383379137522548e-04	7.638146e-01	8.259054e-01	7.518475e-04
1.578691637522549e-04	8.370786e-01	9.078364e-01	8.262229e-04
1.774004137522549e-04	8.977521e-01	9.760715e-01	8.881368e-04
1.969316637522549e-04	9.449226e-01	1.029584e+00	9.366578e-04
2.164629137522549e-04	9.778807e-01	1.067569e+00	9.710561e-04
2.359941637522549e-04	9.961304e-01	1.089455e+00	9.908138e-04
2.555254137522549e-04	9.993974e-01	1.094913e+00	9.956340e-04
2.750566637522550e-04	9.876326e-01	1.083860e+00	9.854436e-04
2.848222887522550e-04	9.761598e-01	1.072184e+00	9.747585e-04
2.945879137522550e-04	9.610128e-01	1.056462e+00	9.603958e-04
3.043535387522550e-04	9.422489e-01	1.036753e+00	9.424094e-04
3.141191637522550e-04	9.199386e-01	1.013131e+00	9.208671e-04
3.238847887522550e-04	8.941658e-01	9.856854e-01	8.958498e-04
3.336504137522550e-04	8.650275e-01	9.545189e-01	8.674519e-04
3.434160387522550e-04	8.326336e-01	9.197490e-01	8.357800e-04
3.531816637522550e-04	7.971057e-01	8.815064e-01	8.009534e-04
3.629472887522550e-04	7.585778e-01	8.399353e-01	7.631031e-04
3.824785387522551e-04	6.731122e-01	7.474449e-01	6.789123e-04
4.020097887522551e-04	5.775225e-01	6.436688e-01	5.844739e-04
4.215410387522551e-04	4.732463e-01	5.301679e-01	4.812083e-04
4.410722887522551e-04	3.618520e-01	4.086495e-01	3.706689e-04
4.606035387522551e-04	2.450151e-01	2.809414e-01	2.545182e-04
