time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-1.308061e-02	-2.335467e-06
2.800101663769081e-07	1.759364e-03	-1.292212e-02	-2.275748e-06
5.600203327538162e-07	3.518710e-03	-1.248257e-02	-2.165841e-06
8.400304991307243e-07	5.278039e-03	-1.176195e-02	-2.005745e-06
1.120040665507632e-06	7.037351e-03	-1.076028e-02	-1.795460e-06
1.400050831884541e-06	8.796644e-03	-9.477549e-03	-1.534986e-06
1.680060998261449e-06	1.055592e-02	-7.913755e-03	-1.224323e-06
1.960071164638356e-06	1.231518e-02	-6.068900e-03	-8.634706e-07
3.676692820209941e-06	2.309929e-02	8.577992e-03	1.944609e-06
5.276810194643972e-06	3.314910e-02	2.810159e-02	5.610412e-06
7.559640216755266e-06	4.748076e-02	6.524202e-02	1.249852e-05
1.047805982595417e-05	6.578805e-02	1.245166e-01	2.341008e-05
1.464885974430407e-05	9.191160e-02	2.258887e-01	4.197852e-05
1.995781503932737e-05	1.250703e-01	3.733995e-01	6.891140e-05
2.672576540185957e-05	1.671349e-01	5.793894e-01	1.064457e-04
3.443523757596685e-05	2.146788e-01	8.267567e-01	1.514661e-04
5.396648757596686e-05	3.326210e-01	1.469046e+00	2.682641e-04
7.349773757596685e-05	4.455602e-01	2.099306e+00	3.828254e-04
9.302898757596684e-05	5.517977e-01	2.699293e+00	4.918612e-04
1.125602375759668e-04	6.497358e-01	3.258762e+00	5.935135e-04
1.320914875759668e-04	7.379012e-01	3.769154e+00	6.862279e-04
1.516227375759668e-04	8.149679e-01	4.222779e+00	7.686073e-04
1.711539875759669e-04	8.797767e-01	4.612813e+00	8.394125e-04
1.906852375759669e-04	9.313528e-01	4.933383e+00	8.975773e-04
2.102164875759669e-04	9.689205e-01	5.179654e+00	9.422244e-04
2.297477375759669e-04	9.919148e-01	5.347903e+00	9.726791e-04
2.492789875759669e-04	9.999897e-01	5.435577e+00	9.884792e-04
2.688102375759670e-04	9.930239e-01	5.441332e+00	9.893826e-04
2.883414875759670e-04	9.711221e-01	5.365053e+00	9.753707e-04
3.078727375759670e-04	9.346136e-01	5.207860e+00	9.466491e-04
3.274039875759670e-04	8.840477e-01	4.972089e+00	9.036451e-04
3.469352375759670e-04	8.201849e-01	4.661263e+00	8.470012e-04
3.664664875759670e-04	7.439858e-01	4.280036e+00	7.775655e-04
3.859977375759671e-04	6.565965e-01	3.834126e+00	6.963797e-04
4.055289875759671e-04	5.593313e-01	3.330230e+00	6.046630e-04
4.250602375759671e-04	4.536532e-01	2.775924e+00	5.037943e-04
4.445914875759671e-04	3.411518e-01	2.179547e+00	3.952914e-04
4.641227375759671e-04	2.235192e-01	1.550080e+00	2.807881e-04
4.836539875759671e-04	1.025246e-01	8.970082e-01	1.620095e-04
5.031852375759671e-04	-2.001210e-02	2.301762e-01	4.074624e-05
5.227164875759671e-04	-1.422478e-01	-4.403590e-01	-8.117290e-05
5.422477375759671e-04	-2.623439e-01	-1.104482e+00	-2.019088e-04
5.617789875759672e-04	-3.784941e-01	-1.752171e+00	-3.196398e-04
5.813102375759672e-04	-4.889514e-01	-2.373655e+00	-4.325896e-04
6.008414875759672e-04	-5.920545e-01	-2.959557e+00	-5.390545e-04
6.203727375759672e-04	-6.862525e-01	-3.501042e+00	-6.374287e-04
6.399039875759672e-04	-7.701285e-01	-3.989947e+00	-7.262296e-04
6.594352375759672e-04	-8.424212e-01	-4.418910e+00	-8.041197e-04
6.789664875759673e-04	-9.020431e-01	-4.781475e+00	-8.699272e-04
6.984977375759673e-04	-9.480974e-01	-5.072196e+00	-9.226633e-04
7.180289875759673e-04	-9.798914e-01	-5.286715e+00	-9.615374e-04
7.375602375759673e-04	-9.969469e-01	-5.421826e+00	-9.859686e-04
7.570914875759673e-04	-9.990075e-01	-5.475524e+00	-9.955944e-04
7.766227375759673e-04	-9.860420e-01	-5.447034e+00	-9.902755e-04
7.961539875759674e-04	-9.582456e-01	-5.336817e+00	-9.700980e-04
8.156852375759674e-04	-9.160362e-01	-5.146563e+00	-9.353712e-04
8.352164875759674e-04	-8.600488e-01	-4.879166e+00	-8.866228e-04
8.547477375759674e-04	-7.911255e-01	-4.538674e+00	-8.245911e-04
8.742789875759674e-04	-7.103029e-01	-4.130229e+00	-7.502126e-04
8.938102375759675e-04	-6.187966e-01	-3.659989e+00	-6.646086e-04
9.133414875759675e-04	-5.179832e-01	-3.135031e+00	-5.690675e-04
9.328727375759675e-04	-4.093787e-01	-2.563248e+00	-4.650260e-04
9.524039875759675e-04	-2.946169e-01	-1.953230e+00	-3.540468e-04
9.719352375759675e-04	-1.754237e-01	-1.314134e+00	-2.377960e-04
9.914664875759675e-04	-5.359195e-02	-6.555467e-01	-1.180177e-04
1.010997737575968e-03	6.904584e-02	1.265371e-02	3.491722e-06
1.030528987575968e-03	1.906451e-01	6.804487e-01	1.249102e-04
1.050060237575968e-03	3.093769e-01	1.337826e+00	2.444172e-04
1.069591487575968e-03	4.234554e-01	1.974928e+00	3.602206e-04
1.089122737575968e-03	5.311648e-01	2.582199e+00	4.705834e-04
1.108653987575968e-03	6.308848e-01	3.150527e+00	5.738497e-04
1.128185237575968e-03	7.211159e-01	3.671381e+00	6.684691e-04
1.147716487575968e-03	8.005006e-01	4.136936e+00	7.530201e-04
1.167247737575968e-03	8.678451e-01	4.540190e+00	8.262312e-04
1.186778987575968e-03	9.221364e-01	4.875074e+00	8.870005e-04
1.206310237575968e-03	9.625579e-01	5.136539e+00	9.344118e-04
1.225841487575968e-03	9.885016e-01	5.320635e+00	9.677489e-04
1.245372737575968e-03	9.995774e-01	5.424571e+00	9.865065e-04
1.264903987575968e-03	9.956186e-01	5.446758e+00	9.903979e-04
1.284435237575968e-03	9.766847e-01	5.386836e+00	9.793596e-04
1.303966487575968e-03	9.430606e-01	5.245677e+00	9.535528e-04
1.323497737575968e-03	8.952520e-01	5.025377e+00	9.133607e-04
1.343028987575968e-03	8.339779e-01	4.729225e+00	8.593833e-04
1.362560237575968e-03	7.601601e-01	4.361654e+00	7.924286e-04
1.382091487575968e-03	6.749088e-01	3.928175e+00	7.135008e-04
1.401622737575968e-03	5.795062e-01	3.435297e+00	6.237848e-04
1.421153987575968e-03	4.753872e-01	2.890428e+00	5.246293e-04
1.440685237575968e-03	3.641180e-01	2.301765e+00	4.175258e-04
1.460216487575968e-03	2.473722e-01	1.678172e+00	3.040871e-04
1.479747737575968e-03	1.269056e-01	1.029042e+00	1.860220e-04
1.499278987575968e-03	4.530239e-03	3.641624e-01	6.511021e-05
1.509044612575968e-03	-5.679839e-02	2.894395e-02	4.155640e-06
1.528575862575968e-03	-1.785843e-01	-6.407282e-01	-1.176014e-04
1.548107112575968e-03	-2.976841e-01	-1.300965e+00	-2.376255e-04
1.567638362575968e-03	-4.123065e-01	-1.941803e+00	-3.541059e-04
1.587169612575968e-03	-5.207275e-01	-2.553575e+00	-4.652852e-04
1.606700862575968e-03	-6.213161e-01	-3.127052e+00	-5.694863e-04
1.626232112575968e-03	-7.125596e-01	-3.653586e+00	-6.651380e-04
1.645763362575968e-03	-7.930856e-01	-4.125242e+00	-7.507990e-04
1.665294612575968e-03	-8.616828e-01	-4.534919e+00	-8.251793e-04
1.684825862575968e-03	-9.173195e-01	-4.876455e+00	-8.871604e-04
1.704357112575968e-03	-9.591589e-01	-5.144721e+00	-9.358116e-04
1.723888362575968e-03	-9.865716e-01	-5.335700e+00	-9.704041e-04
1.743419612575968e-03	-9.991454e-01	-5.446543e+00	-9.904216e-04
1.762950862575968e-03	-9.966910e-01	-5.475610e+00	-9.955685e-04
1.782482112575968e-03	-9.792456e-01	-5.422497e+00	-9.857727e-04
1.802013362575968e-03	-9.470714e-01	-5.288035e+00	-9.611878e-04
1.821544612575968e-03	-9.006523e-01	-5.074282e+00	-9.221893e-04
1.841075862575968e-03	-8.406866e-01	-4.784480e+00	-8.693692e-04
1.860607112575968e-03	-7.680761e-01	-4.423015e+00	-8.035264e-04
