time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
4.445336353720321e-08	2.793088e-04	-1.471209e-01	1.851451e-04
8.890672707440642e-08	5.586174e-04	-1.470718e-01	2.335283e-04
1.333600906116096e-07	8.379260e-04	-1.469729e-01	3.238365e-04
1.778134541488128e-07	1.117235e-03	-1.468242e-01	4.560697e-04
2.222668176860160e-07	1.396543e-03	-1.466256e-01	6.302279e-04
2.667201812232193e-07	1.675851e-03	-1.463772e-01	8.463111e-04
3.111735447604224e-07	1.955160e-03	-1.460790e-01	1.104319e-03
4.333880881997971e-07	2.723054e-03	-1.449908e-01	1.929990e-03
5.538139186442848e-07	3.479708e-03	-1.436026e-01	2.840499e-03
8.586806764344387e-07	5.395224e-03	-1.387486e-01	5.251997e-03
1.052431229337917e-06	6.612572e-03	-1.346564e-01	6.761995e-03
1.326309212443029e-06	8.333351e-03	-1.273181e-01	8.869489e-03
1.874065178653253e-06	1.177483e-02	-1.084074e-01	1.306253e-02
2.454258732187077e-06	1.541995e-02	-8.118438e-02	1.751788e-02
3.614645839254724e-06	2.270954e-02	-4.577316e-03	2.651154e-02
5.323480070376985e-06	3.344218e-02	1.410937e-01	3.981191e-02
6.017062767115158e-06	3.779731e-02	2.116368e-01	4.502634e-02
6.498011701020204e-06	4.081687e-02	2.642823e-01	4.818489e-02
6.921674449620961e-06	4.347645e-02	3.081044e-01	5.022420e-02
7.284005699351319e-06	4.575078e-02	3.406133e-01	5.123330e-02
7.495552644210111e-06	4.707854e-02	3.557757e-01	5.148802e-02
7.742110797932864e-06	4.862593e-02	3.691115e-01	5.166411e-02
8.013695993811271e-06	5.033026e-02	3.800244e-01	5.202798e-02
8.276187544120733e-06	5.197739e-02	3.876454e-01	5.269681e-02
8.562058833368004e-06	5.377106e-02	3.937901e-01	5.378814e-02
8.811561560642889e-06	5.533639e-02	3.980301e-01	5.498854e-02
9.093377898826761e-06	5.710430e-02	4.020773e-01	5.652871e-02
9.369699917238601e-06	5.883756e-02	4.056468e-01	5.814035e-02
9.705177127270678e-06	6.094164e-02	4.096837e-01	6.016776e-02
1.009645967096798e-05	6.339539e-02	4.141776e-01	6.257448e-02
1.128293063683254e-05	7.083338e-02	4.270850e-01	6.994832e-02
1.415906757275314e-05	8.884674e-02	4.557474e-01	8.787670e-02
1.760340397032508e-05	1.103801e-01	4.873166e-01	1.093402e-01
2.221556248809738e-05	1.391317e-01	5.269576e-01	1.380298e-01
3.198118748809739e-05	1.995942e-01	6.044050e-01	1.984254e-01
4.662962498809738e-05	2.888090e-01	7.107425e-01	2.875960e-01
5.779033927381168e-05	3.559314e-01	7.866307e-01	3.547071e-01
6.895105355952597e-05	4.205467e-01	8.590448e-01	4.193180e-01
8.011176784524026e-05	4.826548e-01	9.279845e-01	4.814287e-01
9.127248213095456e-05	5.422558e-01	9.934501e-01	5.410393e-01
1.024331964166689e-04	5.993496e-01	1.055441e+00	5.981497e-01
1.135939107023832e-04	6.539363e-01	1.113958e+00	6.527599e-01
1.247546249880974e-04	7.060158e-01	1.169001e+00	7.048699e-01
1.442858749880974e-04	7.892277e-01	1.257011e+00	7.881482e-01
1.638171249880974e-04	8.585780e-01	1.330346e+00	8.575744e-01
1.833483749880975e-04	9.140664e-01	1.389005e+00	9.131487e-01
2.028796249880975e-04	9.556931e-01	1.432988e+00	9.548710e-01
2.224108749880975e-04	9.834581e-01	1.462297e+00	9.827413e-01
2.419421249880975e-04	9.973612e-01	1.476930e+00	9.967597e-01
2.614733749880975e-04	9.974027e-01	1.476887e+00	9.969260e-01
2.789119910595261e-04	9.822588e-01	1.461406e+00	9.818964e-01
2.963506071309547e-04	9.564841e-01	1.434582e+00	9.562335e-01
3.137892232023833e-04	9.200785e-01	1.396415e+00	9.199373e-01
3.312278392738119e-04	8.730421e-01	1.346907e+00	8.730078e-01
3.486664553452405e-04	8.153748e-01	1.286055e+00	8.154450e-01
3.661050714166691e-04	7.470767e-01	1.213862e+00	7.472489e-01
3.835436874880976e-04	6.681478e-01	1.130326e+00	6.684195e-01
3.940068571309548e-04	6.172155e-01	1.076421e+00	6.175431e-01
4.044700267738119e-04	5.642153e-01	1.019491e+00	5.645936e-01
4.149331964166691e-04	5.091475e-01	9.595372e-01	5.095711e-01
4.253963660595263e-04	4.520118e-01	8.965588e-01	4.524757e-01
4.358595357023834e-04	3.928084e-01	8.305560e-01	3.933072e-01
4.463227053452405e-04	3.315373e-01	7.615287e-01	3.320657e-01
4.567858749880977e-04	2.681983e-01	6.894770e-01	2.687511e-01
4.714343124880977e-04	1.785214e-01	5.814574e-01	1.790770e-01
4.811999374880977e-04	1.178498e-01	5.019751e-01	1.183653e-01
4.860827499880977e-04	8.733326e-02	4.577673e-01	8.779234e-02
4.909655624880977e-04	5.673457e-02	4.077741e-01	5.707138e-02
4.949848125701412e-04	3.150614e-02	3.586147e-01	3.161025e-02
4.974810278211435e-04	1.582651e-02	3.194456e-01	1.559217e-02
4.993445910794631e-04	4.118044e-03	2.797117e-01	3.350064e-03
5.008436530483155e-04	-5.300804e-03	2.330610e-01	-6.914649e-03
5.025146042511998e-04	-1.579907e-02	1.554319e-01	-1.898817e-02
5.039653120789908e-04	-2.491221e-02	5.575159e-02	-2.996469e-02
5.055333031717161e-04	-3.475977e-02	-8.979958e-02	-4.198986e-02
5.064124008635496e-04	-4.027940e-02	-1.893631e-01	-4.833068e-02
5.069289806695437e-04	-4.352232e-02	-2.551543e-01	-5.132894e-02
5.071960669640772e-04	-4.519882e-02	-2.907722e-01	-5.211245e-02
5.073993705667821e-04	-4.647487e-02	-3.180342e-01	-5.171861e-02
5.076398635598109e-04	-4.798425e-02	-3.492422e-01	-4.931839e-02
5.079745362308254e-04	-5.008453e-02	-3.897848e-01	-4.251604e-02
5.082105950904958e-04	-5.156581e-02	-4.153020e-01	-3.500986e-02
5.084391338168546e-04	-5.299980e-02	-4.364043e-01	-2.550428e-02
5.086856412178602e-04	-5.454641e-02	-4.555868e-01	-1.403365e-02
5.088930705326467e-04	-5.584774e-02	-4.689765e-01	-4.247046e-03
5.091358167840246e-04	-5.737051e-02	-4.819250e-01	6.581041e-03
5.093583370523491e-04	-5.876629e-02	-4.917012e-01	1.534515e-02
5.096914335649965e-04	-6.085545e-02	-5.037020e-01	2.633507e-02
5.099954030317116e-04	-6.276169e-02	-5.127630e-01	3.430785e-02
5.103955541545013e-04	-6.527076e-02	-5.227182e-01	4.222720e-02
5.108238138874021e-04	-6.795561e-02	-5.319747e-01	4.857350e-02
5.113017548213030e-04	-7.095136e-02	-5.412607e-01	5.394396e-02
5.117532170434018e-04	-7.378054e-02	-5.494463e-01	5.803276e-02
5.122291842279651e-04	-7.676264e-02	-5.577014e-01	6.174491e-02
5.134829586696386e-04	-8.461463e-02	-5.785548e-01	7.041490e-02
5.179729911405559e-04	-1.127400e-01	-6.473460e-01	9.920166e-02
5.224630236114734e-04	-1.407213e-01	-7.143920e-01	1.277412e-01
5.269530560823907e-04	-1.685586e-01	-7.796927e-01	1.560334e-01
5.314430885533082e-04	-1.962518e-01	-8.432482e-01	1.840785e-01
5.359331210242255e-04	-2.238010e-01	-9.050584e-01	2.118763e-01
5.404231534951430e-04	-2.512062e-01	-9.651233e-01	2.394268e-01
5.449131859660603e-04	-2.784673e-01	-1.023443e+00	2.667301e-01
5.560739002517746e-04	-3.458339e-01	-1.167415e+00	3.344618e-01
5.672346145374889e-04	-4.107388e-01	-1.305451e+00	3.997613e-01
5.783953288232033e-04	-4.731819e-01	-1.437550e+00	4.626285e-01
5.895560431089176e-04	-5.331634e-01	-1.563713e+00	5.230635e-01
6.007167573946318e-04	-5.906830e-01	-1.683940e+00	5.810662e-01
6.118774716803461e-04	-6.457410e-01	-1.798231e+00	6.366367e-01
6.230381859660604e-04	-6.983372e-01	-1.906585e+00	6.897750e-01
6.418718913232033e-04	-7.796898e-01	-2.074354e+00	7.721803e-01
6.607055966803461e-04	-8.482675e-01	-2.215818e+00	8.418706e-01
6.795393020374890e-04	-9.040702e-01	-2.330976e+00	8.988460e-01
6.983730073946320e-04	-9.470979e-01	-2.419830e+00	9.431064e-01
7.172067127517748e-04	-9.773506e-01	-2.482378e+00	9.746519e-01
7.360404181089177e-04	-9.948283e-01	-2.518620e+00	9.934825e-01
7.548741234660605e-04	-9.995311e-01	-2.528558e+00	9.995981e-01
7.730102841803462e-04	-9.882160e-01	-2.506173e+00	9.896428e-01
