time	V(vin)	V(vo1)	V(vo2)
5.115328282256927e-04	-3.619975e-02	-4.027010e-01	-1.081988e-02
5.118107271830765e-04	-3.707045e-02	-4.160397e-01	-3.610295e-03
5.120768589512711e-04	-3.790417e-02	-4.265647e-01	3.099549e-03
5.123411399917961e-04	-3.873199e-02	-4.351030e-01	9.123943e-03
5.127205860357971e-04	-3.992036e-02	-4.450279e-01	1.652268e-02
5.130884246747245e-04	-4.107217e-02	-4.527136e-01	2.225924e-02
5.136041399606557e-04	-4.268664e-02	-4.613127e-01	2.832565e-02
5.140727223385376e-04	-4.415317e-02	-4.677793e-01	3.238846e-02
5.146238235149291e-04	-4.587748e-02	-4.743063e-01	3.589810e-02
5.151706997605114e-04	-4.758802e-02	-4.801581e-01	3.860696e-02
5.158582041658703e-04	-4.973762e-02	-4.870177e-01	4.141526e-02
5.175923325801977e-04	-5.515547e-02	-5.032359e-01	4.746833e-02
5.234744749837638e-04	-7.348014e-02	-5.537238e-01	6.642235e-02
5.381229124837638e-04	-1.186246e-01	-6.668681e-01	1.122678e-01
5.485860821266209e-04	-1.505981e-01	-7.409260e-01	1.444977e-01
5.590492517694781e-04	-1.815985e-01	-8.118930e-01	1.757515e-01
5.695124214123352e-04	-2.116258e-01	-8.797689e-01	2.060294e-01
5.799755910551925e-04	-2.406801e-01	-9.445539e-01	2.353312e-01
5.904387606980496e-04	-2.687614e-01	-1.006248e+00	2.636569e-01
6.009019303409068e-04	-2.958695e-01	-1.064851e+00	2.910067e-01
6.113650999837639e-04	-3.220046e-01	-1.120363e+00	3.173804e-01
6.288037160551925e-04	-3.627342e-01	-1.207060e+00	3.585843e-01
6.462423321266211e-04	-3.982344e-01	-1.282570e+00	3.945885e-01
6.636809481980496e-04	-4.285052e-01	-1.346892e+00	4.253930e-01
6.811195642694783e-04	-4.535466e-01	-1.400026e+00	4.509979e-01
6.985581803409069e-04	-4.733586e-01	-1.441972e+00	4.714030e-01
7.159967964123355e-04	-4.879412e-01	-1.472730e+00	4.866086e-01
7.334354124837640e-04	-4.972944e-01	-1.492300e+00	4.966144e-01
7.529666624837640e-04	-4.993045e-01	-1.497000e+00	4.993737e-01
7.724979124837640e-04	-4.943045e-01	-1.486879e+00	4.951018e-01
7.920291624837640e-04	-4.822943e-01	-1.461936e+00	4.837989e-01
8.115604124837641e-04	-4.632741e-01	-1.422171e+00	4.654649e-01
8.310916624837641e-04	-4.372437e-01	-1.367584e+00	4.400997e-01
8.506229124837641e-04	-4.042032e-01	-1.298176e+00	4.077035e-01
8.701541624837641e-04	-3.641526e-01	-1.213947e+00	3.682761e-01
8.813148767694784e-04	-3.388968e-01	-1.160786e+00	3.433377e-01
8.924755910551927e-04	-3.123210e-01	-1.104149e+00	3.170692e-01
9.036363053409071e-04	-2.844251e-01	-1.044036e+00	2.894704e-01
9.147970196266214e-04	-2.552092e-01	-9.804475e-01	2.605415e-01
9.259577339123356e-04	-2.246732e-01	-9.133824e-01	2.302824e-01
9.371184481980499e-04	-1.928171e-01	-8.428412e-01	1.986931e-01
9.482791624837642e-04	-1.596409e-01	-7.688238e-01	1.657736e-01
9.531619749837642e-04	-1.449961e-01	-7.359023e-01	1.512181e-01
9.580447874837641e-04	-1.302497e-01	-7.017783e-01	1.365988e-01
9.629275999837641e-04	-1.154019e-01	-6.664517e-01	1.219157e-01
9.678104124837641e-04	-1.004525e-01	-6.299226e-01	1.071686e-01
9.726932249837641e-04	-8.540174e-02	-5.921910e-01	9.235772e-02
9.775760374837641e-04	-7.024944e-02	-5.532568e-01	7.748296e-02
9.824588499837640e-04	-5.499565e-02	-5.131201e-01	6.254434e-02
9.873416624837639e-04	-3.972543e-02	-4.687447e-01	4.788669e-02
9.922244749837638e-04	-2.441782e-02	-4.178275e-01	3.379710e-02
9.971072874837637e-04	-9.087224e-03	-3.561043e-01	2.104751e-02
9.996237868102450e-04	-1.181907e-03	-3.143816e-01	1.615842e-02
1.001549524655772e-03	4.867898e-03	-2.702319e-01	1.464030e-02
1.003321606425838e-03	1.043438e-02	-2.144158e-01	1.582161e-02
1.004818313330167e-03	1.513487e-02	-1.498158e-01	1.910818e-02
1.006529219588093e-03	2.050640e-02	-5.241045e-02	2.475738e-02
1.008107086898748e-03	2.545815e-02	5.993155e-02	3.068534e-02
1.009697212837123e-03	3.044585e-02	1.911139e-01	3.664697e-02
1.010361310570357e-03	3.252803e-02	2.486217e-01	3.872790e-02
1.010892783668647e-03	3.419398e-02	2.919692e-01	3.973928e-02
1.011308675081123e-03	3.549736e-02	3.204395e-01	3.995732e-02
1.011663302623292e-03	3.660856e-02	3.391576e-01	3.982200e-02
1.011948063492114e-03	3.750070e-02	3.500292e-01	3.969953e-02
1.012283241607241e-03	3.855065e-02	3.589080e-01	3.976795e-02
1.012658020637158e-03	3.972444e-02	3.658015e-01	4.017327e-02
1.012995114346700e-03	4.078001e-02	3.702199e-01	4.080072e-02
1.013276647862096e-03	4.166146e-02	3.730498e-01	4.147904e-02
1.013596461034190e-03	4.266261e-02	3.757461e-01	4.235197e-02
1.013946143627544e-03	4.375705e-02	3.783741e-01	4.336967e-02
1.014406243412445e-03	4.519677e-02	3.815667e-01	4.475812e-02
1.015678461273026e-03	4.917571e-02	3.897413e-01	4.868705e-02
1.021246394108422e-03	6.654944e-02	4.212742e-01	6.597883e-02
1.031012019108422e-03	9.681178e-02	4.691397e-01	9.616843e-02
1.045660456608422e-03	1.414868e-01	5.314982e-01	1.407987e-01
1.056821170894136e-03	1.751175e-01	5.740776e-01	1.744160e-01
1.067981885179850e-03	2.075073e-01	6.144193e-01	2.067972e-01
1.079142599465564e-03	2.386564e-01	6.525234e-01	2.379421e-01
1.090303313751278e-03	2.685648e-01	6.883897e-01	2.678508e-01
1.101464028036992e-03	2.972323e-01	7.220185e-01	2.965233e-01
1.112624742322706e-03	3.246591e-01	7.534095e-01	3.239597e-01
1.123785456608420e-03	3.508451e-01	7.825629e-01	3.501598e-01
1.143316706608420e-03	3.927424e-01	8.292783e-01	3.920874e-01
1.162847956608419e-03	4.277247e-01	8.682559e-01	4.271052e-01
1.182379206608419e-03	4.557920e-01	8.994957e-01	4.552131e-01
