time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
2.712392665838974e-08	3.408493e-04	-1.471250e-01	1.757640e-04
5.424785331677949e-08	6.816986e-04	-1.470974e-01	2.032425e-04
8.137177997516923e-08	1.022548e-03	-1.470375e-01	2.611225e-04
1.084957066335590e-07	1.363397e-03	-1.469452e-01	3.494039e-04
1.356196332919487e-07	1.704246e-03	-1.468205e-01	4.680868e-04
1.627435599503385e-07	2.045095e-03	-1.466635e-01	6.171712e-04
1.898674866087281e-07	2.385945e-03	-1.464742e-01	7.966570e-04
2.494506058831775e-07	3.134687e-03	-1.458870e-01	1.324816e-03
3.288932824986801e-07	4.132992e-03	-1.447813e-01	2.245530e-03
4.431756980628852e-07	5.569103e-03	-1.426664e-01	3.824706e-03
5.681066438194244e-07	7.139023e-03	-1.397296e-01	5.728996e-03
7.014681583028725e-07	8.814881e-03	-1.358878e-01	7.840835e-03
8.453258335884745e-07	1.062263e-02	-1.309373e-01	1.011898e-02
1.015769315356189e-06	1.276445e-02	-1.239366e-01	1.278371e-02
1.258880505533535e-06	1.581939e-02	-1.115027e-01	1.654432e-02
1.745102885888228e-06	2.192917e-02	-8.006108e-02	2.404651e-02
2.245349603616662e-06	2.821496e-02	-3.775327e-02	3.180949e-02
3.089614931581581e-06	3.882281e-02	5.644538e-02	4.500425e-02
4.154320351306936e-06	5.219880e-02	2.017556e-01	6.155006e-02
4.594682420737902e-06	5.773046e-02	2.697293e-01	6.797702e-02
4.900995101453650e-06	6.157799e-02	3.173324e-01	7.156906e-02
5.260769672229144e-06	6.609675e-02	3.679131e-01	7.443719e-02
5.397729707688807e-06	6.781687e-02	3.841205e-01	7.503249e-02
5.514275469573823e-06	6.928056e-02	3.951997e-01	7.525400e-02
5.667549395998505e-06	7.120547e-02	4.071068e-01	7.548161e-02
5.808888625403005e-06	7.298044e-02	4.158960e-01	7.580000e-02
5.966094257032682e-06	7.495459e-02	4.235208e-01	7.641811e-02
6.146904595626503e-06	7.722508e-02	4.304648e-01	7.750609e-02
6.313018526035581e-06	7.931093e-02	4.356165e-01	7.885994e-02
6.533762035922783e-06	8.208261e-02	4.413695e-01	8.104477e-02
6.738321820089578e-06	8.465096e-02	4.460910e-01	8.330989e-02
6.982731171217294e-06	8.771944e-02	4.512708e-01	8.619779e-02
7.253320685754068e-06	9.111637e-02	4.567172e-01	8.949614e-02
7.606636844161170e-06	9.555143e-02	4.635828e-01	9.386806e-02
8.715746547646356e-06	1.094706e-01	4.841690e-01	1.076945e-01
9.770993703665554e-06	1.227088e-01	5.028039e-01	1.208744e-01
1.188148801570395e-05	1.491685e-01	5.383126e-01	1.472473e-01
1.522068053731985e-05	1.909773e-01	5.916798e-01	1.889621e-01
1.922770361672257e-05	2.410351e-01	6.526654e-01	2.389420e-01
2.899332861672257e-05	3.623291e-01	7.930783e-01	3.601350e-01
4.364176611672257e-05	5.415717e-01	9.909521e-01	5.393175e-01
5.480248040243687e-05	6.766567e-01	1.135326e+00	6.743890e-01
