time	V(vin)	V(vo1)	V(vo2)
4.854579552116760e-04	-3.649731e-01	-1.233038e+00	4.128799e-01
4.903407677116759e-04	-2.426140e-01	-9.701813e-01	2.917937e-01
4.952235802116759e-04	-1.200265e-01	-6.951438e-01	1.721763e-01
4.985386254220634e-04	-3.672783e-02	-4.941064e-01	9.401295e-02
4.996502749639504e-04	-8.789542e-03	-4.170858e-01	7.115051e-02
5.005582597296034e-04	1.403057e-02	-3.436146e-01	5.683066e-02
5.009690489785423e-04	2.435471e-02	-3.048797e-01	5.287704e-02
5.012812976743389e-04	3.220218e-02	-2.711374e-01	5.203117e-02
5.014677145609652e-04	3.688717e-02	-2.485623e-01	5.277424e-02
5.016920340868791e-04	4.252465e-02	-2.178668e-01	5.524971e-02
5.020630597989163e-04	5.184890e-02	-1.603694e-01	6.184620e-02
5.023882165426001e-04	6.002017e-02	-1.027993e-01	6.966666e-02
5.027322041679794e-04	6.866441e-02	-3.349265e-02	7.954419e-02
5.030711472166710e-04	7.718156e-02	4.341303e-02	9.004831e-02
5.035429810304815e-04	8.903747e-02	1.622684e-01	1.050085e-01
5.039720298936905e-04	9.981763e-02	2.784666e-01	1.182868e-01
5.042097082701029e-04	1.057892e-01	3.445247e-01	1.248865e-01
5.043745123538322e-04	1.099296e-01	3.880380e-01	1.282881e-01
5.045580933748633e-04	1.145417e-01	4.316234e-01	1.305546e-01
5.046851042178310e-04	1.177325e-01	4.559106e-01	1.308207e-01
5.047643817163918e-04	1.197241e-01	4.677625e-01	1.305530e-01
5.048659894906465e-04	1.222766e-01	4.804423e-01	1.301305e-01
5.049446082136713e-04	1.242516e-01	4.884981e-01	1.298779e-01
5.050121306499074e-04	1.259478e-01	4.941764e-01	1.298248e-01
5.050869103670149e-04	1.278262e-01	4.994435e-01	1.300249e-01
5.051794425914853e-04	1.301506e-01	5.049784e-01	1.306408e-01
5.052689466400856e-04	1.323989e-01	5.095574e-01	1.316339e-01
5.053890072668063e-04	1.354146e-01	5.148829e-01	1.335070e-01
5.055402196174184e-04	1.392128e-01	5.208930e-01	1.364367e-01
5.056918874560827e-04	1.430222e-01	5.264581e-01	1.398032e-01
5.058733735755485e-04	1.475805e-01	5.327860e-01	1.441398e-01
5.060884417218312e-04	1.529819e-01	5.400675e-01	1.494414e-01
5.066595539131964e-04	1.673240e-01	5.588587e-01	1.636974e-01
5.082292278364843e-04	2.067309e-01	6.082479e-01	2.029692e-01
5.103221264008682e-04	2.592415e-01	6.711680e-01	2.553576e-01
5.137860103566702e-04	3.460471e-01	7.715212e-01	3.420315e-01
5.175440916918453e-04	4.400387e-01	8.768292e-01	4.359219e-01
5.224269041918453e-04	5.617861e-01	1.009972e+00	5.575727e-01
5.321925291918453e-04	8.035806e-01	1.268515e+00	7.992775e-01
5.426556988347024e-04	1.061871e+00	1.538218e+00	1.057525e+00
5.531188684775596e-04	1.312953e+00	1.799369e+00	1.308587e+00
5.635820381204167e-04	1.556828e+00	2.051970e+00	1.552463e+00
5.740452077632739e-04	1.793496e+00	2.296021e+00	1.789153e+00
5.845083774061311e-04	2.022955e+00	2.531520e+00	2.018658e+00
5.949715470489883e-04	2.245208e+00	2.758469e+00	2.240978e+00
6.054347166918454e-04	2.460252e+00	2.976868e+00	2.456111e+00
6.221757881204168e-04	2.784187e+00	3.306253e+00	2.780228e+00
6.389168595489883e-04	3.070654e+00	3.597478e+00	3.066913e+00
6.556579309775597e-04	3.319653e+00	3.850543e+00	3.316164e+00
6.723990024061311e-04	3.531183e+00	4.065447e+00	3.527982e+00
6.891400738347027e-04	3.705245e+00	4.242191e+00	3.702367e+00
