time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-5.385558e-03	-2.340681e-06
1.879761385710393e-07	5.905457e-04	-5.339610e-03	-2.295028e-06
3.759522771420785e-07	1.181089e-03	-5.241384e-03	-2.226646e-06
5.639284157131177e-07	1.771629e-03	-5.090878e-03	-2.135534e-06
7.519045542841571e-07	2.362167e-03	-4.888094e-03	-2.021692e-06
9.398806928551964e-07	2.952702e-03	-4.633031e-03	-1.885120e-06
1.127856831426235e-06	3.543234e-03	-4.325690e-03	-1.725818e-06
1.315832969997274e-06	4.133764e-03	-3.966069e-03	-1.543787e-06
2.265230600401866e-06	7.116192e-03	-1.650269e-03	-4.072507e-07
3.300748067375436e-06	1.036886e-02	1.746223e-03	1.210902e-06
4.372774798158553e-06	1.373575e-02	6.140139e-03	3.267682e-06
5.712169221376046e-06	1.794146e-02	1.262172e-02	6.268602e-06
7.685404267093226e-06	2.413503e-02	2.347130e-02	1.125506e-05
1.033598236598121e-05	3.244863e-02	3.953011e-02	1.859852e-05
1.407348364951194e-05	4.415556e-02	6.370359e-02	2.961755e-05
1.852175398272443e-05	5.805655e-02	9.351534e-02	4.318323e-05
4.205254073943419e-05	1.305801e-01	2.528646e-01	1.156140e-04
6.158379073943419e-05	1.886793e-01	3.814046e-01	1.740247e-04
8.111504073943418e-05	2.439406e-01	5.041292e-01	2.297836e-04
1.006462907394342e-04	2.955328e-01	6.191918e-01	2.820518e-04
1.201775407394342e-04	3.426799e-01	7.248620e-01	3.300433e-04
1.397087907394342e-04	3.846728e-01	8.195506e-01	3.730364e-04
1.592400407394342e-04	4.208799e-01	9.018334e-01	4.103843e-04
1.787712907394342e-04	4.507565e-01	9.704728e-01	4.415252e-04
1.983025407394342e-04	4.738533e-01	1.024436e+00	4.659909e-04
2.178337907394342e-04	4.898230e-01	1.062912e+00	4.834129e-04
2.373650407394342e-04	4.984252e-01	1.085320e+00	4.935293e-04
2.568962907394343e-04	4.995307e-01	1.091323e+00	4.961876e-04
2.764275407394343e-04	4.931228e-01	1.080832e+00	4.913476e-04
2.959587907394343e-04	4.792978e-01	1.054002e+00	4.790820e-04
3.154900407394343e-04	4.582637e-01	1.011237e+00	4.595749e-04
3.350212907394343e-04	4.303370e-01	9.531797e-01	4.331195e-04
3.545525407394344e-04	3.959375e-01	8.807032e-01	4.001138e-04
3.740837907394344e-04	3.555828e-01	7.948970e-01	3.610539e-04
