time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-2.812901e-03	-2.342424e-06
1.094346519729060e-07	3.437994e-04	-2.794625e-03	-2.298545e-06
2.188693039458120e-07	6.875982e-04	-2.760389e-03	-2.241365e-06
3.283039559187180e-07	1.031396e-03	-2.710193e-03	-2.170886e-06
4.377386078916240e-07	1.375194e-03	-2.644037e-03	-2.087106e-06
5.471732598645300e-07	1.718991e-03	-2.561920e-03	-1.990027e-06
6.566079118374361e-07	2.062788e-03	-2.463843e-03	-1.879647e-06
7.660425638103418e-07	2.406584e-03	-2.349806e-03	-1.755967e-06
1.329000504339685e-06	4.175130e-03	-1.609738e-03	-9.918667e-07
1.940876958191468e-06	6.097293e-03	-5.164499e-04	7.938390e-08
2.666002159515328e-06	8.375101e-03	1.086721e-03	1.605174e-06
3.366059287790471e-06	1.057400e-02	2.881884e-03	3.284381e-06
4.368570992710626e-06	1.372255e-02	5.752836e-03	5.939209e-06
5.759309331104137e-06	1.808945e-02	1.006682e-02	9.898073e-06
7.802777875186208e-06	2.450333e-02	1.677004e-02	1.601850e-05
1.067918869517650e-05	3.352449e-02	2.650683e-02	2.488402e-05
1.500091785194034e-05	4.705703e-02	4.131957e-02	3.835501e-05
3.072715741219387e-05	9.593364e-02	9.504236e-02	8.719056e-05
5.025840741219387e-05	1.552804e-01	1.604302e-01	1.466213e-04
6.978965741219388e-05	2.122915e-01	2.233629e-01	2.038117e-04
8.932090741219387e-05	2.661096e-01	2.828939e-01	2.579015e-04
1.088521574121939e-04	3.159252e-01	3.381278e-01	3.080772e-04
1.283834074121939e-04	3.609890e-01	3.882340e-01	3.535841e-04
1.479146574121939e-04	4.006231e-01	4.324587e-01	3.937377e-04
1.674459074121939e-04	4.342315e-01	4.701367e-01	4.279342e-04
1.869771574121939e-04	4.613087e-01	5.007015e-01	4.556591e-04
2.065084074121939e-04	4.814473e-01	5.236931e-01	4.764954e-04
2.260396574121939e-04	4.943446e-01	5.387657e-01	4.901297e-04
2.455709074121940e-04	4.998064e-01	5.456926e-01	4.963568e-04
2.651021574121940e-04	4.977507e-01	5.443695e-01	4.950830e-04
2.846334074121940e-04	4.882083e-01	5.348162e-01	4.863276e-04
3.041646574121940e-04	4.713229e-01	5.171764e-01	4.702219e-04
3.139302824121940e-04	4.602016e-01	5.054023e-01	4.594843e-04
3.236959074121940e-04	4.473483e-01	4.917153e-01	4.470084e-04
3.334615324121940e-04	4.328112e-01	4.761670e-01	4.328412e-04
3.432271574121941e-04	4.166451e-01	4.588159e-01	4.170360e-04
3.529927824121941e-04	3.989109e-01	4.397272e-01	3.996523e-04
3.627584074121941e-04	3.796752e-01	4.189729e-01	3.807556e-04
3.725240324121941e-04	3.590106e-01	3.966309e-01	3.604169e-04
3.822896574121941e-04	3.369947e-01	3.727855e-01	3.387128e-04
3.920552824121941e-04	3.137105e-01	3.475264e-01	3.157249e-04
4.018209074121941e-04	2.892455e-01	3.209486e-01	2.915399e-04
4.115865324121941e-04	2.636918e-01	2.931521e-01	2.662487e-04
4.213521574121941e-04	2.371457e-01	2.642416e-01	2.399466e-04
4.311177824121941e-04	2.097070e-01	2.343260e-01	2.127325e-04
4.408834074121941e-04	1.814790e-01	2.035177e-01	1.847088e-04
4.506490324121941e-04	1.525680e-01	1.719328e-01	1.559811e-04
4.604146574121942e-04	1.230828e-01	1.396902e-01	1.266574e-04
4.701802824121942e-04	9.313425e-02	1.069111e-01	9.684818e-05
4.799459074121942e-04	6.283521e-02	7.371909e-02	6.666558e-05
4.897115324121942e-04	3.229967e-02	4.023897e-02	3.622325e-05
4.994771574121942e-04	1.642555e-03	6.596782e-03	5.635742e-06
5.092427824121942e-04	-2.902074e-02	-2.708082e-02	-2.498180e-05
5.190084074121942e-04	-5.957481e-02	-6.066710e-02	-5.551414e-05
5.287740324121942e-04	-8.990464e-02	-9.403561e-02	-8.584634e-05
5.385396574121942e-04	-1.198961e-01	-1.270608e-01	-1.158642e-04
5.483052824121942e-04	-1.494363e-01	-1.596183e-01	-1.454548e-04
5.580709074121942e-04	-1.784141e-01	-1.915855e-01	-1.745068e-04
5.678365324121942e-04	-2.067203e-01	-2.228423e-01	-2.029107e-04
5.776021574121943e-04	-2.342485e-01	-2.532708e-01	-2.305597e-04
5.873677824121943e-04	-2.608950e-01	-2.827567e-01	-2.573497e-04
5.971334074121943e-04	-2.865596e-01	-3.111888e-01	-2.831799e-04
6.068990324121943e-04	-3.111457e-01	-3.384602e-01	-3.079529e-04
6.166646574121943e-04	-3.345606e-01	-3.644683e-01	-3.315757e-04
6.264302824121943e-04	-3.567164e-01	-3.891151e-01	-3.539593e-04
6.361959074121943e-04	-3.775295e-01	-4.123079e-01	-3.750194e-04
6.459615324121943e-04	-3.969217e-01	-4.339593e-01	-3.946768e-04
6.557271574121943e-04	-4.148200e-01	-4.539880e-01	-4.128575e-04
6.654927824121943e-04	-4.311570e-01	-4.723185e-01	-4.294930e-04
6.752584074121943e-04	-4.458712e-01	-4.888818e-01	-4.445208e-04
6.850240324121944e-04	-4.589073e-01	-5.036156e-01	-4.578842e-04
6.947896574121944e-04	-4.702161e-01	-5.164644e-01	-4.695331e-04
7.045552824121944e-04	-4.797552e-01	-5.273799e-01	-4.794235e-04
7.143209074121944e-04	-4.874885e-01	-5.363210e-01	-4.875183e-04
7.338521574121944e-04	-4.974287e-01	-5.481530e-01	-4.982059e-04
7.533834074121944e-04	-4.998870e-01	-5.517825e-01	-5.014351e-04
7.729146574121944e-04	-4.948266e-01	-5.471549e-01	-4.971576e-04
7.924459074121944e-04	-4.823235e-01	-5.343400e-01	-4.854375e-04
8.119771574121945e-04	-4.625658e-01	-5.135306e-01	-4.664514e-04
8.315084074121945e-04	-4.358508e-01	-4.850397e-01	-4.404848e-04
8.510396574121945e-04	-4.025801e-01	-4.492959e-01	-4.079283e-04
8.705709074121945e-04	-3.632542e-01	-4.068367e-01	-3.692717e-04
8.901021574121945e-04	-3.184646e-01	-3.583011e-01	-3.250963e-04
9.096334074121946e-04	-2.688851e-01	-3.044188e-01	-2.760667e-04
9.291646574121946e-04	-2.152613e-01	-2.460003e-01	-2.229202e-04
9.486959074121946e-04	-1.583997e-01	-1.839243e-01	-1.664562e-04
9.682271574121946e-04	-9.915563e-02	-1.191244e-01	-1.075239e-04
9.877584074121945e-04	-3.842019e-02	-5.257529e-02	-4.700976e-05
1.007289657412195e-03	2.289313e-02	1.472227e-02	1.417618e-05
