time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-2.812901e-03	-2.342424e-06
1.255048343888155e-07	1.577142e-03	-2.731158e-03	-2.142878e-06
2.510096687776309e-07	3.154281e-03	-2.568919e-03	-1.876254e-06
3.765145031664464e-07	4.731416e-03	-2.326186e-03	-1.542551e-06
5.020193375552618e-07	6.308549e-03	-2.002957e-03	-1.141768e-06
6.275241719440773e-07	7.885678e-03	-1.599233e-03	-6.739068e-07
7.530290063328927e-07	9.462803e-03	-1.115014e-03	-1.389661e-07
8.785338407217079e-07	1.103993e-02	-5.502999e-04	4.630537e-07
1.343493705042482e-06	1.688264e-02	1.988914e-03	3.065951e-06
1.803621048549224e-06	2.266449e-02	5.220976e-03	6.241149e-06
2.439785776402659e-06	3.065805e-02	1.069326e-02	1.146750e-05
3.284544197970314e-06	4.127187e-02	1.920326e-02	1.944362e-05
4.470302869593742e-06	5.616810e-02	3.271283e-02	3.194290e-05
5.916273491790016e-06	7.432897e-02	5.066583e-02	4.841707e-05
7.640574601811276e-06	9.597742e-02	7.326795e-02	6.905606e-05
9.741941028470127e-06	1.223444e-01	1.016327e-01	9.489032e-05
1.246872578700413e-05	1.565264e-01	1.389357e-01	1.288239e-04
2.174529748533681e-05	2.724101e-01	2.662003e-01	2.445236e-04
4.092813891040631e-05	5.086682e-01	5.261611e-01	4.808183e-04
6.045938891040631e-05	7.416135e-01	7.830508e-01	7.142869e-04
7.999063891040631e-05	9.634042e-01	1.028123e+00	9.369790e-04
9.952188891040630e-05	1.170704e+00	1.257692e+00	1.145546e-03
1.190531389104063e-04	1.360396e+00	1.468307e+00	1.336850e-03
1.385843889104063e-04	1.529626e+00	1.656798e+00	1.508016e-03
1.581156389104063e-04	1.675850e+00	1.820331e+00	1.656467e-03
1.776468889104063e-04	1.796866e+00	1.956447e+00	1.779972e-03
1.971781389104063e-04	1.890857e+00	2.063098e+00	1.876673e-03
2.167093889104064e-04	1.956407e+00	2.138678e+00	1.945114e-03
2.362406389104064e-04	1.992531e+00	2.182050e+00	1.984264e-03
2.557718889104064e-04	1.998685e+00	2.192561e+00	1.993536e-03
2.753031389104064e-04	1.974777e+00	2.170051e+00	1.972787e-03
2.850687639104064e-04	1.951645e+00	2.146500e+00	1.951235e-03
2.948343889104064e-04	1.921167e+00	2.114859e+00	1.922330e-03
3.046000139104064e-04	1.883458e+00	2.075246e+00	1.886181e-03
3.143656389104064e-04	1.838661e+00	2.027812e+00	1.842923e-03
3.338968889104065e-04	1.728499e+00	1.910221e+00	1.735759e-03
3.534281389104065e-04	1.592339e+00	1.763852e+00	1.602448e-03
3.729593889104065e-04	1.432229e+00	1.590907e+00	1.444997e-03
3.924906389104065e-04	1.250577e+00	1.393986e+00	1.265773e-03
4.120218889104065e-04	1.050115e+00	1.176052e+00	1.067472e-03
4.315531389104066e-04	8.338585e-01	9.403820e-01	8.530762e-04
4.510843889104066e-04	6.050599e-01	6.905221e-01	6.258109e-04
4.706156389104066e-04	3.671605e-01	4.302306e-01	3.890951e-04
4.901468889104066e-04	1.237388e-01	1.634235e-01	1.464898e-04
5.096781389104066e-04	-1.215441e-01	-1.058852e-01	-9.835512e-05
5.292093889104066e-04	-3.649989e-01	-3.736438e-01	-3.417560e-04
5.487406389104066e-04	-6.029637e-01	-6.358237e-01	-5.800511e-04
5.682718889104066e-04	-8.318595e-01	-8.884807e-01	-8.096553e-04
5.878031389104066e-04	-1.048243e+00	-1.127814e+00	-1.027114e-03
6.073343889104067e-04	-1.248860e+00	-1.350222e+00	-1.229157e-03
6.268656389104067e-04	-1.430694e+00	-1.552359e+00	-1.412743e-03
6.463968889104067e-04	-1.591008e+00	-1.731186e+00	-1.575113e-03
6.659281389104067e-04	-1.727392e+00	-1.884012e+00	-1.713822e-03
6.854593889104067e-04	-1.837794e+00	-2.008539e+00	-1.826786e-03
7.049906389104067e-04	-1.920555e+00	-2.102895e+00	-1.912306e-03
7.147562639104068e-04	-1.951163e+00	-2.138296e+00	-1.944356e-03
7.245218889104068e-04	-1.974428e+00	-2.165660e+00	-1.969096e-03
7.342875139104068e-04	-1.990261e+00	-2.184883e+00	-1.986433e-03
7.440531389104068e-04	-1.998604e+00	-2.195892e+00	-1.996302e-03
7.635843889104068e-04	-1.992719e+00	-2.193138e+00	-1.993517e-03
7.831156389104068e-04	-1.956862e+00	-2.157439e+00	-1.960783e-03
8.026468889104068e-04	-1.891572e+00	-2.089335e+00	-1.898593e-03
8.221781389104068e-04	-1.797831e+00	-1.989849e+00	-1.807884e-03
8.417093889104069e-04	-1.677049e+00	-1.860480e+00	-1.690021e-03
8.612406389104069e-04	-1.531042e+00	-1.703174e+00	-1.546777e-03
8.807718889104069e-04	-1.362007e+00	-1.520298e+00	-1.380307e-03
9.003031389104069e-04	-1.172487e+00	-1.314601e+00	-1.193115e-03
9.198343889104069e-04	-9.653305e-01	-1.089179e+00	-9.880159e-04
9.393656389104070e-04	-7.436551e-01	-8.474206e-01	-7.680951e-04
9.588968889104070e-04	-5.107943e-01	-5.929621e-01	-5.366596e-04
9.784281389104070e-04	-2.702508e-01	-3.296300e-01	-2.971897e-04
9.979593889104070e-04	-2.564237e-02	-6.138386e-02	-5.328645e-05
1.017490638910407e-03	2.193517e-01	2.077426e-01	1.913826e-04
1.037021888910407e-03	4.610465e-01	4.737026e-01	4.331382e-04
1.056553138910407e-03	6.958067e-01	7.324969e-01	6.683450e-04
1.076084388910407e-03	9.201014e-01	9.802339e-01	8.934662e-04
1.095615638910407e-03	1.130557e+00	1.213188e+00	1.105116e-03
1.115146888910407e-03	1.324008e+00	1.427857e+00	1.300112e-03
1.134678138910407e-03	1.497544e+00	1.621011e+00	1.475522e-03
1.154209388910407e-03	1.648556e+00	1.789745e+00	1.628706e-03
1.173740638910407e-03	1.774773e+00	1.931522e+00	1.757362e-03
1.193271888910407e-03	1.874295e+00	2.044209e+00	1.859553e-03
1.212803138910407e-03	1.945626e+00	2.126109e+00	1.933742e-03
1.232334388910407e-03	1.987692e+00	2.175990e+00	1.978812e-03
1.251865638910407e-03	1.999863e+00	2.193102e+00	1.994085e-03
1.271396888910407e-03	1.981953e+00	2.177186e+00	1.979330e-03
1.281162513910407e-03	1.961785e+00	2.156897e+00	1.960744e-03
1.290928138910407e-03	1.934233e+00	2.128479e+00	1.934768e-03
1.300693763910407e-03	1.899401e+00	2.092039e+00	1.901502e-03
1.310459388910407e-03	1.857420e+00	2.047714e+00	1.861069e-03
1.329990638910407e-03	1.752670e+00	1.936104e+00	1.759340e-03
1.349521888910407e-03	1.621558e+00	1.795328e+00	1.631111e-03
1.369053138910407e-03	1.466057e+00	1.627502e+00	1.478310e-03
1.388584388910407e-03	1.288504e+00	1.435151e+00	1.303235e-03
1.408115638910407e-03	1.091571e+00	1.221167e+00	1.108519e-03
1.427646888910407e-03	8.782203e-01	9.887681e-01	8.970912e-04
1.447178138910407e-03	6.516601e-01	7.414515e-01	6.721318e-04
1.466709388910407e-03	4.152982e-01	4.829372e-01	4.370250e-04
1.486240638910407e-03	1.726899e-01	2.171144e-01	1.953076e-04
1.505771888910407e-03	-7.251580e-02	-5.201779e-02	-4.938374e-05
1.525303138910407e-03	-3.166308e-01	-3.204103e-01	-2.933679e-04
1.544834388910407e-03	-5.559834e-01	-5.840250e-01	-5.329741e-04
1.564365638910408e-03	-7.869735e-01	-8.388961e-01	-7.645978e-04
1.583896888910408e-03	-1.006127e+00	-1.081189e+00	-9.847542e-04
1.603428138910408e-03	-1.210147e+00	-1.307259e+00	-1.190131e-03
1.622959388910408e-03	-1.395965e+00	-1.513704e+00	-1.377639e-03
1.642490638910408e-03	-1.560787e+00	-1.697420e+00	-1.544458e-03
1.662021888910408e-03	-1.702133e+00	-1.855643e+00	-1.688079e-03
1.681553138910408e-03	-1.817878e+00	-1.985994e+00	-1.806341e-03
1.701084388910408e-03	-1.906280e+00	-2.086512e+00	-1.897466e-03
1.720615638910408e-03	-1.966009e+00	-2.155686e+00	-1.960084e-03
1.730381263910408e-03	-1.984824e+00	-2.178176e+00	-1.980391e-03
1.740146888910408e-03	-1.996168e+00	-2.192477e+00	-1.993254e-03
1.749912513910408e-03	-2.000000e+00	-2.198537e+00	-1.998623e-03
1.769443763910408e-03	-1.985093e+00	-2.185873e+00	-1.986828e-03
1.788975013910408e-03	-1.940329e+00	-2.140373e+00	-1.945185e-03
1.808506263910408e-03	-1.866381e+00	-2.062725e+00	-1.874321e-03
1.828037513910408e-03	-1.764361e+00	-1.954096e+00	-1.775304e-03
1.847568763910408e-03	-1.635802e+00	-1.816122e+00	-1.649622e-03
1.867100013910408e-03	-1.482640e+00	-1.650878e+00	-1.499167e-03
1.886631263910408e-03	-1.307178e+00	-1.460850e+00	-1.326203e-03
1.906162513910408e-03	-1.112054e+00	-1.248897e+00	-1.133330e-03
1.925693763910408e-03	-9.002045e-01	-1.018205e+00	-9.234493e-04
1.945225013910408e-03	-6.748147e-01	-7.722456e-01	-6.997181e-04
1.964756263910408e-03	-4.392751e-01	-5.147161e-01	-4.655003e-04
1.984287513910407e-03	-1.971283e-01	-2.494895e-01	-2.243182e-04
2.003818763910407e-03	4.798340e-02	1.944606e-02	2.020152e-05
2.023350013910406e-03	2.923734e-01	2.880465e-01	2.643819e-04
2.042881263910406e-03	5.323659e-01	5.522730e-01	5.045512e-04
2.062412513910406e-03	7.643511e-01	8.081523e-01	7.370978e-04
2.081943763910405e-03	9.848397e-01	1.051837e+00	9.585249e-04
2.101475013910405e-03	1.190515e+00	1.279662e+00	1.165502e-03
2.121006263910404e-03	1.378285e+00	1.488201e+00	1.354918e-03
2.140537513910404e-03	1.545323e+00	1.674318e+00	1.523922e-03
2.160068763910403e-03	1.689119e+00	1.835214e+00	1.669974e-03
2.179600013910403e-03	1.807508e+00	1.968468e+00	1.790876e-03
2.199131263910403e-03	1.898711e+00	2.072076e+00	1.884809e-03
2.218662513910402e-03	1.961356e+00	2.144479e+00	1.950360e-03
2.238193763910402e-03	1.994500e+00	2.184586e+00	1.986542e-03
2.257725013910401e-03	1.997645e+00	2.191794e+00	1.992810e-03
2.277256263910401e-03	1.970743e+00	2.165992e+00	1.969069e-03
2.287021888910401e-03	1.946134e+00	2.140815e+00	1.946039e-03
2.296787513910401e-03	1.914199e+00	2.107569e+00	1.915676e-03
2.306553138910400e-03	1.875061e+00	2.066380e+00	1.878093e-03
2.326084388910400e-03	1.775785e+00	1.960820e+00	1.781861e-03
2.345615638910400e-03	1.649800e+00	1.825721e+00	1.658790e-03
2.365146888910399e-03	1.499001e+00	1.663116e+00	1.510731e-03
2.384678138910399e-03	1.325655e+00	1.475449e+00	1.339910e-03
2.404209388910398e-03	1.132370e+00	1.265544e+00	1.148897e-03
2.423740638910398e-03	9.220532e-01	1.036557e+00	9.405644e-04
2.443271888910397e-03	6.978678e-01	7.919325e-01	7.180463e-04
2.462803138910397e-03	4.631858e-01	5.353512e-01	4.846902e-04
2.482334388910397e-03	2.215371e-01	2.706728e-01	2.440064e-04
2.501865638910396e-03	-2.344377e-02	1.879268e-03	-3.840464e-07
2.521396888910396e-03	-2.680720e-01	-2.669854e-01	-2.448045e-04
2.540928138910395e-03	-5.086682e-01	-5.318762e-01	-4.855776e-04
2.560459388910395e-03	-7.416135e-01	-7.888079e-01	-7.190811e-04
2.579990638910395e-03	-9.634042e-01	-1.033915e+00	-9.418022e-04
2.599521888910394e-03	-1.170704e+00	-1.263510e+00	-1.150390e-03
2.619053138910394e-03	-1.360396e+00	-1.474139e+00	-1.341707e-03
2.638584388910393e-03	-1.529626e+00	-1.662633e+00	-1.512875e-03
2.658115638910393e-03	-1.675850e+00	-1.826158e+00	-1.661320e-03
2.677646888910392e-03	-1.796866e+00	-1.962254e+00	-1.784808e-03
2.697178138910392e-03	-1.890857e+00	-2.068874e+00	-1.881483e-03
2.716709388910392e-03	-1.956407e+00	-2.144416e+00	-1.949892e-03
2.726475013910391e-03	-1.978191e+00	-2.170159e+00	-1.973158e-03
2.736240638910391e-03	-1.992531e+00	-2.187744e+00	-1.989006e-03
2.746006263910391e-03	-1.999370e+00	-2.197105e+00	-1.997376e-03
2.765537513910391e-03	-1.990477e+00	-2.191046e+00	-1.991587e-03
2.785068763910390e-03	-1.951645e+00	-2.152074e+00	-1.955878e-03
2.804600013910390e-03	-1.883458e+00	-2.080777e+00	-1.890787e-03
2.824131263910389e-03	-1.786943e+00	-1.978228e+00	-1.797294e-03
2.843662513910389e-03	-1.663550e+00	-1.845971e+00	-1.676806e-03
2.863193763910388e-03	-1.515136e+00	-1.685995e+00	-1.531136e-03
2.882725013910388e-03	-1.343932e+00	-1.500706e+00	-1.362476e-03
2.902256263910388e-03	-1.152515e+00	-1.292893e+00	-1.173362e-03
2.921787513910387e-03	-9.437629e-01	-1.065680e+00	-9.666378e-04
2.941318763910387e-03	-7.208157e-01	-8.224844e-01	-7.454135e-04
2.960850013910386e-03	-4.870267e-01	-5.669637e-01	-5.130155e-04
2.980381263910386e-03	-2.459124e-01	-3.029603e-01	-2.729387e-04
2.999912513910386e-03	-1.099383e-03	-3.444396e-02	-2.879321e-05
3.019443763910385e-03	2.437302e-01	2.345477e-01	2.157497e-04
3.038975013910385e-03	4.848939e-01	4.999697e-01	4.570129e-04
3.058506263910384e-03	7.187642e-01	7.578311e-01	6.913682e-04
3.078037513910384e-03	9.418238e-01	1.004254e+00	9.152917e-04
3.097568763910383e-03	1.150717e+00	1.235534e+00	1.125416e-03
3.117100013910383e-03	1.342303e+00	1.448191e+00	1.318581e-03
3.136631263910383e-03	1.513699e+00	1.639028e+00	1.491881e-03
3.156162513910382e-03	1.662328e+00	1.805174e+00	1.642711e-03
3.175693763910382e-03	1.785954e+00	1.944131e+00	1.768801e-03
3.195225013910381e-03	1.882717e+00	2.053808e+00	1.868254e-03
3.214756263910381e-03	1.951163e+00	2.132554e+00	1.939574e-03
3.234287513910381e-03	1.990261e+00	2.179184e+00	1.981688e-03
3.253818763910380e-03	1.999424e+00	2.192997e+00	1.993961e-03
3.273350013910380e-03	1.978514e+00	2.173782e+00	1.976208e-03
3.283115638910380e-03	1.956862e+00	2.151860e+00	1.956137e-03
3.292881263910379e-03	1.927845e+00	2.121829e+00	1.928695e-03
3.302646888910379e-03	1.891572e+00	2.083800e+00	1.893984e-03
3.312412513910379e-03	1.848179e+00	2.037917e+00	1.852136e-03
3.331943763910379e-03	1.740716e+00	1.923308e+00	1.747681e-03
3.351475013910378e-03	1.607070e+00	1.779724e+00	1.616902e-03
3.371006263910378e-03	1.449252e+00	1.609326e+00	1.461764e-03
3.390537513910377e-03	1.269636e+00	1.414675e+00	1.284601e-03
3.410068763910377e-03	1.070924e+00	1.198700e+00	1.088078e-03
3.429600013910376e-03	8.561039e-01	9.646479e-01	8.751499e-04
3.449131263910376e-03	6.284073e-01	7.160409e-01	6.490205e-04
3.468662513910376e-03	3.912588e-01	4.566185e-01	4.130913e-04
3.488193763910375e-03	1.482255e-01	1.902835e-01	1.709118e-04
3.507725013910375e-03	-9.703728e-02	-7.895724e-02	-7.387482e-05
3.527256263910374e-03	-3.408405e-01	-3.470529e-01	-3.175857e-04
3.546787513910374e-03	-5.795172e-01	-6.099701e-01	-5.565544e-04
3.566318763910374e-03	-8.094774e-01	-8.637533e-01	-7.871856e-04
3.585850013910373e-03	-1.027262e+00	-1.104584e+00	-1.006010e-03
3.605381263910373e-03	-1.229596e+00	-1.328840e+00	-1.209735e-03
3.624912513910372e-03	-1.413436e+00	-1.533147e+00	-1.395296e-03
3.644443763910372e-03	-1.576016e+00	-1.714432e+00	-1.559903e-03
3.663975013910371e-03	-1.714892e+00	-1.869968e+00	-1.701078e-03
3.683506263910371e-03	-1.827974e+00	-1.997417e+00	-1.816700e-03
3.703037513910371e-03	-1.913561e+00	-2.094861e+00	-1.905029e-03
3.722568763910370e-03	-1.970367e+00	-2.160836e+00	-1.964738e-03
3.732334388910370e-03	-1.987692e+00	-2.181694e+00	-1.983561e-03
3.742100013910370e-03	-1.997537e+00	-2.194350e+00	-1.994928e-03
3.761631263910369e-03	-1.994661e+00	-2.194901e+00	-1.995148e-03
3.781162513910369e-03	-1.961785e+00	-2.162480e+00	-1.965394e-03
3.800693763910369e-03	-1.899401e+00	-2.097578e+00	-1.906115e-03
3.820225013910368e-03	-1.808448e+00	-2.001171e+00	-1.818203e-03
3.839756263910368e-03	-1.690295e+00	-1.874710e+00	-1.702982e-03
3.859287513910367e-03	-1.546718e+00	-1.720098e+00	-1.562185e-03
3.878818763910367e-03	-1.379877e+00	-1.539660e+00	-1.397930e-03
3.898350013910366e-03	-1.192281e+00	-1.336112e+00	-1.212688e-03
3.917881263910366e-03	-9.867528e-01	-1.112514e+00	-1.009246e-03
3.937412513910366e-03	-7.663825e-01	-8.722296e-01	-7.906614e-04
3.956943763910366e-03	-5.344850e-01	-6.188716e-01	-5.602233e-04
3.976475013910365e-03	-2.945484e-01	-3.562504e-01	-3.213963e-04
3.996006263910365e-03	-5.018150e-02	-8.831494e-02	-7.777203e-05
4.015537513910364e-03	1.949402e-01	1.809058e-01	1.669862e-04
4.035068763910364e-03	4.371297e-01	4.473637e-01	4.091979e-04
4.054600013910364e-03	6.727445e-01	7.070519e-01	6.452209e-04
4.074131263910363e-03	8.982405e-01	9.560655e-01	8.715058e-04
4.093662513910363e-03	1.110226e+00	1.190660e+00	1.084650e-03
4.113193763910362e-03	1.305513e+00	1.407307e+00	1.281448e-03
4.132725013910362e-03	1.481164e+00	1.602749e+00	1.458940e-03
4.152256263910361e-03	1.634536e+00	1.774046e+00	1.614457e-03
4.171787513910361e-03	1.763324e+00	1.918622e+00	1.745658e-03
4.191318763910361e-03	1.865590e+00	2.034301e+00	1.850572e-03
4.210850013910360e-03	1.939795e+00	2.119343e+00	1.927618e-03
4.230381263910360e-03	1.984824e+00	2.172468e+00	1.975638e-03
4.249912513910359e-03	2.000000e+00	2.192877e+00	1.993909e-03
4.269443763910359e-03	1.985093e+00	2.180260e+00	1.982154e-03
4.279209388910359e-03	1.966412e+00	2.161608e+00	1.965055e-03
4.288975013910359e-03	1.940329e+00	2.134808e+00	1.940550e-03
4.298740638910358e-03	1.906944e+00	2.099962e+00	1.908733e-03
4.308506263910358e-03	1.866381e+00	2.057202e+00	1.869722e-03
4.328037513910358e-03	1.764361e+00	1.948609e+00	1.770734e-03
4.347568763910357e-03	1.635802e+00	1.810661e+00	1.645075e-03
4.367100013910357e-03	1.482640e+00	1.645433e+00	1.494633e-03
4.386631263910356e-03	1.307178e+00	1.455410e+00	1.321672e-03
4.406162513910356e-03	1.112054e+00	1.243449e+00	1.128793e-03
4.425693763910356e-03	9.002045e-01	1.012739e+00	9.188972e-04
4.445225013910355e-03	6.748147e-01	7.667499e-01	6.951416e-04
4.464756263910355e-03	4.392751e-01	5.091828e-01	4.608925e-04
4.484287513910354e-03	1.971283e-01	2.439122e-01	2.196737e-04
4.503818763910354e-03	-4.798340e-02	-2.507093e-02	-2.488559e-05
4.523350013910354e-03	-2.923734e-01	-2.937197e-01	-2.691063e-04
4.542881263910353e-03	-5.323659e-01	-5.579925e-01	-5.093141e-04
4.562412513910353e-03	-7.643511e-01	-8.139130e-01	-7.418952e-04
4.581943763910352e-03	-9.848397e-01	-1.057631e+00	-9.633505e-04
4.601475013910352e-03	-1.190515e+00	-1.285481e+00	-1.170349e-03
4.621006263910351e-03	-1.378285e+00	-1.494034e+00	-1.359775e-03
4.640537513910351e-03	-1.545323e+00	-1.680153e+00	-1.528782e-03
4.660068763910351e-03	-1.689119e+00	-1.841039e+00	-1.674825e-03
4.679600013910350e-03	-1.807508e+00	-1.974272e+00	-1.795709e-03
4.699131263910350e-03	-1.898711e+00	-2.077849e+00	-1.889617e-03
4.718662513910349e-03	-1.961356e+00	-2.150213e+00	-1.955135e-03
4.728428138910349e-03	-1.981657e+00	-2.174331e+00	-1.976923e-03
4.738193763910349e-03	-1.994500e+00	-2.190275e+00	-1.991280e-03
4.747959388910349e-03	-1.999836e+00	-2.197986e+00	-1.998150e-03
4.767490638910348e-03	-1.987935e+00	-2.188624e+00	-1.989357e-03
4.787021888910348e-03	-1.946134e+00	-2.146385e+00	-1.950678e-03
4.806553138910348e-03	-1.875061e+00	-2.071907e+00	-1.882695e-03
4.826084388910347e-03	-1.775785e+00	-1.966310e+00	-1.786433e-03
4.845615638910347e-03	-1.649800e+00	-1.831184e+00	-1.663339e-03
4.865146888910346e-03	-1.499001e+00	-1.668562e+00	-1.515266e-03
4.884678138910346e-03	-1.325655e+00	-1.480890e+00	-1.344440e-03
4.904209388910345e-03	-1.132370e+00	-1.270990e+00	-1.153432e-03
4.923740638910345e-03	-9.220532e-01	-1.042021e+00	-9.451146e-04
4.943271888910345e-03	-6.978678e-01	-7.974249e-01	-7.226200e-04
4.962803138910344e-03	-4.631858e-01	-5.408804e-01	-4.892946e-04
4.982334388910344e-03	-2.215371e-01	-2.762455e-01	-2.486470e-04
5.001865638910343e-03	2.344377e-02	-7.499300e-03	-4.295995e-06
5.021396888910343e-03	2.680720e-01	2.613170e-01	2.400841e-04
5.040928138910343e-03	5.086682e-01	5.261612e-01	4.808184e-04
5.060459388910342e-03	7.416135e-01	7.830508e-01	7.142870e-04
5.079990638910342e-03	9.634042e-01	1.028123e+00	9.369790e-04
5.099521888910341e-03	1.170704e+00	1.257692e+00	1.145546e-03
5.119053138910341e-03	1.360396e+00	1.468307e+00	1.336850e-03
5.138584388910340e-03	1.529626e+00	1.656798e+00	1.508016e-03
5.158115638910340e-03	1.675850e+00	1.820331e+00	1.656467e-03
5.177646888910340e-03	1.796866e+00	1.956447e+00	1.779972e-03
5.197178138910339e-03	1.890857e+00	2.063098e+00	1.876673e-03
5.216709388910339e-03	1.956407e+00	2.138678e+00	1.945114e-03
5.236240638910338e-03	1.992531e+00	2.182050e+00	1.984264e-03
5.255771888910338e-03	1.998685e+00	2.192561e+00	1.993536e-03
5.275303138910338e-03	1.974777e+00	2.170051e+00	1.972787e-03
5.285068763910337e-03	1.951645e+00	2.146500e+00	1.951235e-03
5.294834388910337e-03	1.921167e+00	2.114859e+00	1.922330e-03
5.304600013910337e-03	1.883458e+00	2.075246e+00	1.886181e-03
5.314365638910337e-03	1.838661e+00	2.027812e+00	1.842923e-03
5.333896888910336e-03	1.728499e+00	1.910221e+00	1.735759e-03
5.353428138910336e-03	1.592339e+00	1.763852e+00	1.602448e-03
5.372959388910335e-03	1.432229e+00	1.590907e+00	1.444997e-03
5.392490638910335e-03	1.250577e+00	1.393986e+00	1.265773e-03
5.412021888910335e-03	1.050115e+00	1.176052e+00	1.067472e-03
5.431553138910334e-03	8.338585e-01	9.403820e-01	8.530762e-04
5.451084388910334e-03	6.050599e-01	6.905221e-01	6.258109e-04
5.470615638910333e-03	3.671605e-01	4.302306e-01	3.890951e-04
5.490146888910333e-03	1.237388e-01	1.634235e-01	1.464898e-04
5.509678138910333e-03	-1.215441e-01	-1.058852e-01	-9.835512e-05
5.529209388910332e-03	-3.649989e-01	-3.736438e-01	-3.417560e-04
5.548740638910332e-03	-6.029637e-01	-6.358237e-01	-5.800511e-04
5.568271888910331e-03	-8.318595e-01	-8.884807e-01	-8.096553e-04
5.587803138910331e-03	-1.048243e+00	-1.127814e+00	-1.027114e-03
5.607334388910330e-03	-1.248860e+00	-1.350222e+00	-1.229157e-03
5.626865638910330e-03	-1.430694e+00	-1.552359e+00	-1.412743e-03
5.646396888910330e-03	-1.591008e+00	-1.731186e+00	-1.575113e-03
5.665928138910329e-03	-1.727392e+00	-1.884012e+00	-1.713822e-03
5.685459388910329e-03	-1.837794e+00	-2.008539e+00	-1.826786e-03
5.704990638910328e-03	-1.920555e+00	-2.102895e+00	-1.912306e-03
5.714756263910328e-03	-1.951163e+00	-2.138296e+00	-1.944356e-03
5.724521888910328e-03	-1.974428e+00	-2.165660e+00	-1.969096e-03
5.734287513910328e-03	-1.990261e+00	-2.184883e+00	-1.986433e-03
5.744053138910328e-03	-1.998604e+00	-2.195892e+00	-1.996302e-03
5.763584388910327e-03	-1.992719e+00	-2.193138e+00	-1.993517e-03
5.783115638910327e-03	-1.956862e+00	-2.157439e+00	-1.960783e-03
5.802646888910326e-03	-1.891572e+00	-2.089335e+00	-1.898593e-03
5.822178138910326e-03	-1.797831e+00	-1.989849e+00	-1.807884e-03
5.841709388910325e-03	-1.677049e+00	-1.860480e+00	-1.690021e-03
5.861240638910325e-03	-1.531042e+00	-1.703174e+00	-1.546777e-03
5.880771888910325e-03	-1.362007e+00	-1.520298e+00	-1.380307e-03
5.900303138910324e-03	-1.172487e+00	-1.314601e+00	-1.193115e-03
5.919834388910324e-03	-9.653305e-01	-1.089179e+00	-9.880159e-04
5.939365638910323e-03	-7.436551e-01	-8.474206e-01	-7.680951e-04
5.958896888910323e-03	-5.107943e-01	-5.929621e-01	-5.366596e-04
5.978428138910323e-03	-2.702508e-01	-3.296300e-01	-2.971897e-04
5.997959388910322e-03	-2.564237e-02	-6.138386e-02	-5.328645e-05
6.017490638910322e-03	2.193517e-01	2.077426e-01	1.913826e-04
6.037021888910321e-03	4.610465e-01	4.737026e-01	4.331382e-04
6.056553138910321e-03	6.958067e-01	7.324969e-01	6.683450e-04
6.076084388910320e-03	9.201014e-01	9.802339e-01	8.934662e-04
6.095615638910320e-03	1.130557e+00	1.213188e+00	1.105116e-03
6.115146888910320e-03	1.324008e+00	1.427857e+00	1.300112e-03
6.134678138910319e-03	1.497544e+00	1.621011e+00	1.475522e-03
6.154209388910319e-03	1.648556e+00	1.789745e+00	1.628706e-03
6.173740638910318e-03	1.774773e+00	1.931522e+00	1.757362e-03
6.193271888910318e-03	1.874295e+00	2.044209e+00	1.859553e-03
6.212803138910318e-03	1.945626e+00	2.126109e+00	1.933742e-03
6.232334388910317e-03	1.987692e+00	2.175990e+00	1.978812e-03
6.251865638910317e-03	1.999863e+00	2.193102e+00	1.994085e-03
6.271396888910316e-03	1.981953e+00	2.177186e+00	1.979330e-03
6.281162513910316e-03	1.961785e+00	2.156897e+00	1.960744e-03
6.290928138910316e-03	1.934233e+00	2.128479e+00	1.934768e-03
6.300693763910316e-03	1.899401e+00	2.092039e+00	1.901502e-03
6.310459388910315e-03	1.857420e+00	2.047714e+00	1.861069e-03
6.329990638910315e-03	1.752670e+00	1.936104e+00	1.759340e-03
6.349521888910315e-03	1.621558e+00	1.795328e+00	1.631111e-03
6.369053138910314e-03	1.466057e+00	1.627502e+00	1.478310e-03
6.388584388910314e-03	1.288504e+00	1.435151e+00	1.303235e-03
6.408115638910313e-03	1.091571e+00	1.221167e+00	1.108519e-03
6.427646888910313e-03	8.782203e-01	9.887681e-01	8.970912e-04
6.447178138910313e-03	6.516601e-01	7.414515e-01	6.721318e-04
6.466709388910312e-03	4.152982e-01	4.829372e-01	4.370250e-04
6.486240638910312e-03	1.726899e-01	2.171144e-01	1.953076e-04
6.505771888910311e-03	-7.251580e-02	-5.201779e-02	-4.938374e-05
6.525303138910311e-03	-3.166308e-01	-3.204103e-01	-2.933679e-04
