time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-5.385558e-03	-2.340681e-06
7.953698447136128e-08	9.994916e-04	-5.340359e-03	-2.277574e-06
1.590739689427226e-07	1.998982e-03	-5.259347e-03	-2.198896e-06
2.386109534140838e-07	2.998472e-03	-5.142524e-03	-2.104648e-06
3.181479378854451e-07	3.997962e-03	-4.989889e-03	-1.994830e-06
3.976849223568064e-07	4.997450e-03	-4.801442e-03	-1.869441e-06
4.772219068281676e-07	5.996938e-03	-4.577182e-03	-1.728482e-06
5.567588912995287e-07	6.996424e-03	-4.317111e-03	-1.571952e-06
8.670936310149240e-07	1.089617e-02	-2.858432e-03	-7.681938e-07
1.457573395585259e-06	1.831615e-02	1.206817e-03	1.321906e-06
2.094495297819447e-06	2.631944e-02	7.279859e-03	4.310320e-06
2.931367595882206e-06	3.683457e-02	1.780334e-02	9.342913e-06
4.064062878004011e-06	5.106497e-02	3.561877e-02	1.770744e-05
5.632351816828741e-06	7.076345e-02	6.527432e-02	3.145754e-05
7.701202419684999e-06	9.673841e-02	1.104290e-01	5.221922e-05
1.038600118989571e-05	1.304217e-01	1.752753e-01	8.187754e-05
1.342507903897596e-05	1.685045e-01	2.535492e-01	1.175650e-04
1.725813160642741e-05	2.164473e-01	3.558914e-01	1.641453e-04
2.848235161962202e-05	3.560123e-01	6.609434e-01	3.028370e-04
4.734373315866415e-05	5.862035e-01	1.168417e+00	5.334713e-04
6.687498315866415e-05	8.158640e-01	1.676915e+00	7.645334e-04
8.640623315866414e-05	1.033253e+00	2.160132e+00	9.840706e-04
1.059374831586641e-04	1.235101e+00	2.610805e+00	1.188783e-03
1.254687331586641e-04	1.418373e+00	3.022159e+00	1.375593e-03
1.449999831586641e-04	1.580310e+00	3.388007e+00	1.541692e-03
1.645312331586642e-04	1.718478e+00	3.702847e+00	1.684581e-03
1.840624831586642e-04	1.830799e+00	3.961943e+00	1.802110e-03
2.035937331586642e-04	1.915582e+00	4.161392e+00	1.892509e-03
2.231249831586642e-04	1.971554e+00	4.298189e+00	1.954418e-03
2.426562331586642e-04	1.997871e+00	4.370271e+00	1.986901e-03
2.621874831586642e-04	1.994139e+00	4.376546e+00	1.989467e-03
2.817187331586642e-04	1.960413e+00	4.316913e+00	1.962075e-03
3.012499831586643e-04	1.897200e+00	4.192259e+00	1.905132e-03
3.207812331586643e-04	1.805452e+00	4.004454e+00	1.819492e-03
3.403124831586643e-04	1.686548e+00	3.756315e+00	1.706441e-03
3.598437331586643e-04	1.542277e+00	3.451570e+00	1.567676e-03
3.793749831586643e-04	1.374809e+00	3.094798e+00	1.405283e-03
3.989062331586643e-04	1.186662e+00	2.691364e+00	1.221705e-03
4.184374831586644e-04	9.806671e-01	2.247334e+00	1.019700e-03
4.379687331586644e-04	7.599217e-01	1.769390e+00	8.023100e-04
4.574999831586644e-04	5.277463e-01	1.264723e+00	5.728045e-04
4.770312331586644e-04	2.876332e-01	7.409297e-01	3.346383e-04
4.965624831586644e-04	4.319375e-02	2.058939e-01	9.139624e-05
5.160937331586644e-04	-2.018953e-01	-3.323289e-01	-1.532597e-04
5.356249831586645e-04	-4.439477e-01	-8.656353e-01	-3.956461e-04
5.551562331586645e-04	-6.793227e-01	-1.385995e+00	-6.321137e-04
5.746874831586645e-04	-9.044801e-01	-1.885575e+00	-8.591024e-04
5.942187331586645e-04	-1.116033e+00	-2.356852e+00	-1.073195e-03
6.137499831586645e-04	-1.310800e+00	-2.792732e+00	-1.271168e-03
6.332812331586645e-04	-1.485852e+00	-3.186657e+00	-1.450044e-03
6.528124831586646e-04	-1.638554e+00	-3.532698e+00	-1.607129e-03
6.723437331586646e-04	-1.766612e+00	-3.825651e+00	-1.740062e-03
6.918749831586646e-04	-1.868097e+00	-4.061112e+00	-1.846845e-03
7.114062331586646e-04	-1.941485e+00	-4.235544e+00	-1.925873e-03
7.309374831586646e-04	-1.985672e+00	-4.346329e+00	-1.975960e-03
7.504687331586646e-04	-1.999991e+00	-4.391809e+00	-1.996356e-03
7.699999831586647e-04	-1.984229e+00	-4.371307e+00	-1.986757e-03
7.895312331586647e-04	-1.938623e+00	-4.285142e+00	-1.947313e-03
8.090624831586647e-04	-1.863858e+00	-4.134618e+00	-1.878620e-03
8.285937331586647e-04	-1.761058e+00	-3.922006e+00	-1.781715e-03
8.481249831586647e-04	-1.631771e+00	-3.650511e+00	-1.658058e-03
8.676562331586648e-04	-1.477940e+00	-3.324223e+00	-1.509511e-03
8.871874831586648e-04	-1.301880e+00	-2.948051e+00	-1.338311e-03
9.067187331586648e-04	-1.106238e+00	-2.527654e+00	-1.147031e-03
9.262499831586648e-04	-8.939574e-01	-2.069355e+00	-9.385499e-04
9.457812331586648e-04	-6.682308e-01	-1.580043e+00	-7.160006e-04
9.653124831586648e-04	-4.324534e-01	-1.067073e+00	-4.827285e-04
9.848437331586649e-04	-1.901715e-01	-5.381530e-01	-2.422393e-04
1.004374983158665e-03	5.497074e-02	-1.231151e-03	1.853318e-06
1.023906233158665e-03	2.992862e-01	5.356253e-01	2.458816e-04
1.043437483158665e-03	5.391001e-01	1.064350e+00	4.861788e-04
1.062968733158665e-03	7.708054e-01	1.576998e+00	7.191340e-04
1.082499983158665e-03	9.909171e-01	2.065866e+00	9.412465e-04
1.102031233158665e-03	1.196125e+00	2.523607e+00	1.149178e-03
1.121562483158665e-03	1.383341e+00	2.943340e+00	1.339802e-03
1.141093733158665e-03	1.549751e+00	3.318752e+00	1.510254e-03
1.160624983158665e-03	1.692851e+00	3.644199e+00	1.657968e-03
1.180156233158665e-03	1.810489e+00	3.914783e+00	1.780723e-03
1.199687483158665e-03	1.900896e+00	4.126431e+00	1.876671e-03
1.219218733158665e-03	1.962711e+00	4.275955e+00	1.944367e-03
1.238749983158665e-03	1.995006e+00	4.361099e+00	1.982789e-03
1.258281233158665e-03	1.997293e+00	4.380575e+00	1.991356e-03
1.277812483158665e-03	1.969540e+00	4.334084e+00	1.969937e-03
1.297343733158665e-03	1.912163e+00	4.222316e+00	1.918850e-03
1.316874983158665e-03	1.826025e+00	4.046945e+00	1.838860e-03
