Freq.	V(vo2)
2.51188643150957e+01	(1.20400926981271e+01dB,1.79989836898202e+02°)
2.57039578276885e+01	(1.20400926948006e+01dB,1.79989600169152e+02°)
2.63026799189537e+01	(1.20400926913173e+01dB,1.79989357925974e+02°)
2.69153480392690e+01	(1.20400926876699e+01dB,1.79989110040228e+02°)
2.75422870333815e+01	(1.20400926838506e+01dB,1.79988856380482e+02°)
2.81838293126444e+01	(1.20400926798513e+01dB,1.79988596812241e+02°)
2.88403150312659e+01	(1.20400926756635e+01dB,1.79988331197879e+02°)
2.95120922666637e+01	(1.20400926712783e+01dB,1.79988059396564e+02°)
3.01995172040200e+01	(1.20400926666864e+01dB,1.79987781264183e+02°)
3.09029543251358e+01	(1.20400926618781e+01dB,1.79987496653267e+02°)
3.16227766016837e+01	(1.20400926568433e+01dB,1.79987205412911e+02°)
3.23593656929627e+01	(1.20400926515711e+01dB,1.79986907388697e+02°)
3.31131121482590e+01	(1.20400926460506e+01dB,1.79986602422607e+02°)
3.38844156139201e+01	(1.20400926402698e+01dB,1.79986290352944e+02°)
3.46736850452530e+01	(1.20400926342165e+01dB,1.79985971014245e+02°)
3.54813389233574e+01	(1.20400926278780e+01dB,1.79985644237193e+02°)
3.63078054770100e+01	(1.20400926212408e+01dB,1.79985309848526e+02°)
3.71535229097171e+01	(1.20400926142907e+01dB,1.79984967670947e+02°)
3.80189396320559e+01	(1.20400926070131e+01dB,1.79984617523028e+02°)
3.89045144994279e+01	(1.20400925993926e+01dB,1.79984259219117e+02°)
3.98107170553495e+01	(1.20400925914129e+01dB,1.79983892569236e+02°)
4.07380277804111e+01	(1.20400925830571e+01dB,1.79983517378983e+02°)
4.16869383470333e+01	(1.20400925743075e+01dB,1.79983133449426e+02°)
4.26579518801591e+01	(1.20400925651456e+01dB,1.79982740577002e+02°)
4.36515832240164e+01	(1.20400925555518e+01dB,1.79982338553404e+02°)
4.46683592150961e+01	(1.20400925455060e+01dB,1.79981927165475e+02°)
4.57088189614873e+01	(1.20400925349867e+01dB,1.79981506195090e+02°)
4.67735141287196e+01	(1.20400925239716e+01dB,1.79981075419046e+02°)
4.78630092322636e+01	(1.20400925124374e+01dB,1.79980634608939e+02°)
4.89778819368444e+01	(1.20400925003596e+01dB,1.79980183531047e+02°)
5.01187233627270e+01	(1.20400924877127e+01dB,1.79979721946202e+02°)
5.12861383991362e+01	(1.20400924744696e+01dB,1.79979249609666e+02°)
5.24807460249770e+01	(1.20400924606025e+01dB,1.79978766271000e+02°)
5.37031796370250e+01	(1.20400924460818e+01dB,1.79978271673930e+02°)
5.49540873857622e+01	(1.20400924308768e+01dB,1.79977765556217e+02°)
5.62341325190346e+01	(1.20400924149551e+01dB,1.79977247649508e+02°)
5.75439937337154e+01	(1.20400923982832e+01dB,1.79976717679204e+02°)
5.88843655355586e+01	(1.20400923808254e+01dB,1.79976175364307e+02°)
6.02559586074355e+01	(1.20400923625450e+01dB,1.79975620417275e+02°)
6.16595001861479e+01	(1.20400923434030e+01dB,1.79975052543868e+02°)
6.30957344480190e+01	(1.20400923233589e+01dB,1.79974471442992e+02°)
6.45654229034652e+01	(1.20400923023701e+01dB,1.79973876806539e+02°)
6.60693448007593e+01	(1.20400922803921e+01dB,1.79973268319226e+02°)
6.76082975391978e+01	(1.20400922573784e+01dB,1.79972645658425e+02°)
6.91830970918933e+01	(1.20400922332800e+01dB,1.79972008493993e+02°)
7.07945784384134e+01	(1.20400922080460e+01dB,1.79971356488098e+02°)
7.24435960074986e+01	(1.20400921816226e+01dB,1.79970689295037e+02°)
7.41310241300914e+01	(1.20400921539540e+01dB,1.79970006561056e+02°)
7.58577575029180e+01	(1.20400921249814e+01dB,1.79969307924160e+02°)
7.76247116628688e+01	(1.20400920946435e+01dB,1.79968593013925e+02°)
7.94328234724277e+01	(1.20400920628757e+01dB,1.79967861451294e+02°)
8.12830516164095e+01	(1.20400920296107e+01dB,1.79967112848384e+02°)
8.31763771102667e+01	(1.20400919947780e+01dB,1.79966346808277e+02°)
8.51138038202372e+01	(1.20400919583036e+01dB,1.79965562924807e+02°)
8.70963589956076e+01	(1.20400919201103e+01dB,1.79964760782351e+02°)
8.91250938133741e+01	(1.20400918801170e+01dB,1.79963939955602e+02°)
9.12010839355905e+01	(1.20400918382389e+01dB,1.79963100009347e+02°)
9.33254300796986e+01	(1.20400917943872e+01dB,1.79962240498236e+02°)
9.54992586021431e+01	(1.20400917484687e+01dB,1.79961360966546e+02°)
9.77237220955805e+01	(1.20400917003862e+01dB,1.79960460947937e+02°)
9.99999999999995e+01	(1.20400916500376e+01dB,1.79959539965209e+02°)
1.02329299228075e+02	(1.20400915973162e+01dB,1.79958597530045e+02°)
1.04712854805089e+02	(1.20400915421101e+01dB,1.79957633142755e+02°)
1.07151930523760e+02	(1.20400914843022e+01dB,1.79956646292007e+02°)
1.09647819614318e+02	(1.20400914237699e+01dB,1.79955636454562e+02°)
1.12201845430196e+02	(1.20400913603848e+01dB,1.79954603094991e+02°)
1.14815362149688e+02	(1.20400912940124e+01dB,1.79953545665394e+02°)
1.17489755493952e+02	(1.20400912245121e+01dB,1.79952463605110e+02°)
1.20226443461741e+02	(1.20400911517363e+01dB,1.79951356340415e+02°)
1.23026877081237e+02	(1.20400910755306e+01dB,1.79950223284227e+02°)
1.25892541179416e+02	(1.20400909957335e+01dB,1.79949063835783e+02°)
1.28824955169313e+02	(1.20400909121757e+01dB,1.79947877380331e+02°)
1.31825673855640e+02	(1.20400908246799e+01dB,1.79946663288797e+02°)
1.34896288259165e+02	(1.20400907330606e+01dB,1.79945420917457e+02°)
1.38038426460288e+02	(1.20400906371234e+01dB,1.79944149607588e+02°)
1.41253754462275e+02	(1.20400905366648e+01dB,1.79942848685129e+02°)
1.44543977074592e+02	(1.20400904314718e+01dB,1.79941517460315e+02°)
1.47910838816820e+02	(1.20400903213211e+01dB,1.79940155227314e+02°)
1.51356124843620e+02	(1.20400902059792e+01dB,1.79938761263856e+02°)
1.54881661891247e+02	(1.20400900852014e+01dB,1.79937334830843e+02°)
1.58489319246110e+02	(1.20400899587316e+01dB,1.79935875171966e+02°)
1.62181009735892e+02	(1.20400898263014e+01dB,1.79934381513296e+02°)
1.65958690743755e+02	(1.20400896876300e+01dB,1.79932853062879e+02°)
1.69824365246173e+02	(1.20400895424232e+01dB,1.79931289010313e+02°)
1.73780082874936e+02	(1.20400893903730e+01dB,1.79929688526319e+02°)
1.77827941003891e+02	(1.20400892311569e+01dB,1.79928050762305e+02°)
1.81970085860997e+02	(1.20400890644372e+01dB,1.79926374849909e+02°)
1.86208713666286e+02	(1.20400888898602e+01dB,1.79924659900544e+02°)
1.90546071796323e+02	(1.20400887070557e+01dB,1.79922905004926e+02°)
1.94984459975803e+02	(1.20400885156359e+01dB,1.79921109232591e+02°)
1.99526231496887e+02	(1.20400883151948e+01dB,1.79919271631401e+02°)
2.04173794466952e+02	(1.20400881053071e+01dB,1.79917391227041e+02°)
2.08929613085403e+02	(1.20400878855278e+01dB,1.79915467022502e+02°)
2.13796208950222e+02	(1.20400876553907e+01dB,1.79913497997551e+02°)
2.18776162394954e+02	(1.20400874144075e+01dB,1.79911483108191e+02°)
2.23872113856832e+02	(1.20400871620670e+01dB,1.79909421286109e+02°)
2.29086765276776e+02	(1.20400868978342e+01dB,1.79907311438106e+02°)
2.34422881531991e+02	(1.20400866211486e+01dB,1.79905152445522e+02°)
2.39883291901947e+02	(1.20400863314231e+01dB,1.79902943163639e+02°)
2.45470891568501e+02	(1.20400860280433e+01dB,1.79900682421075e+02°)
2.51188643150956e+02	(1.20400857103657e+01dB,1.79898369019164e+02°)
2.57039578276885e+02	(1.20400853777164e+01dB,1.79896001731321e+02°)
2.63026799189536e+02	(1.20400850293899e+01dB,1.79893579302391e+02°)
2.69153480392690e+02	(1.20400846646472e+01dB,1.79891100447980e+02°)
2.75422870333815e+02	(1.20400842827148e+01dB,1.79888563853782e+02°)
2.81838293126443e+02	(1.20400838827825e+01dB,1.79885968174874e+02°)
2.88403150312659e+02	(1.20400834640021e+01dB,1.79883312035007e+02°)
2.95120922666637e+02	(1.20400830254851e+01dB,1.79880594025878e+02°)
3.01995172040200e+02	(1.20400825663015e+01dB,1.79877812706379e+02°)
3.09029543251357e+02	(1.20400820854774e+01dB,1.79874966601836e+02°)
3.16227766016836e+02	(1.20400815819927e+01dB,1.79872054203227e+02°)
3.23593656929626e+02	(1.20400810547796e+01dB,1.79869073966381e+02°)
3.31131121482589e+02	(1.20400805027197e+01dB,1.79866024311159e+02°)
3.38844156139200e+02	(1.20400799246422e+01dB,1.79862903620618e+02°)
3.46736850452529e+02	(1.20400793193208e+01dB,1.79859710240153e+02°)
3.54813389233573e+02	(1.20400786854715e+01dB,1.79856442476620e+02°)
3.63078054770099e+02	(1.20400780217500e+01dB,1.79853098597435e+02°)
3.71535229097170e+02	(1.20400773267483e+01dB,1.79849676829664e+02°)
3.80189396320558e+02	(1.20400765989923e+01dB,1.79846175359073e+02°)
3.89045144994278e+02	(1.20400758369383e+01dB,1.79842592329173e+02°)
3.98107170553494e+02	(1.20400750389700e+01dB,1.79838925840234e+02°)
4.07380277804110e+02	(1.20400742033947e+01dB,1.79835173948278e+02°)
4.16869383470332e+02	(1.20400733284402e+01dB,1.79831334664046e+02°)
4.26579518801589e+02	(1.20400724122505e+01dB,1.79827405951948e+02°)
4.36515832240163e+02	(1.20400714528823e+01dB,1.79823385728982e+02°)
4.46683592150960e+02	(1.20400704483006e+01dB,1.79819271863626e+02°)
4.57088189614872e+02	(1.20400693963747e+01dB,1.79815062174716e+02°)
4.67735141287195e+02	(1.20400682948734e+01dB,1.79810754430282e+02°)
4.78630092322635e+02	(1.20400671414601e+01dB,1.79806346346370e+02°)
4.89778819368442e+02	(1.20400659336885e+01dB,1.79801835585829e+02°)
5.01187233627268e+02	(1.20400646689967e+01dB,1.79797219757073e+02°)
5.12861383991361e+02	(1.20400633447021e+01dB,1.79792496412813e+02°)
5.24807460249769e+02	(1.20400619579960e+01dB,1.79787663048759e+02°)
5.37031796370249e+02	(1.20400605059368e+01dB,1.79782717102295e+02°)
5.49540873857620e+02	(1.20400589854445e+01dB,1.79777655951119e+02°)
5.62341325190345e+02	(1.20400573932943e+01dB,1.79772476911852e+02°)
5.75439937337152e+02	(1.20400557261090e+01dB,1.79767177238618e+02°)
5.88843655355584e+02	(1.20400539803522e+01dB,1.79761754121589e+02°)
6.02559586074353e+02	(1.20400521523212e+01dB,1.79756204685492e+02°)
6.16595001861477e+02	(1.20400502381385e+01dB,1.79750525988090e+02°)
6.30957344480188e+02	(1.20400482337439e+01dB,1.79744715018620e+02°)
6.45654229034650e+02	(1.20400461348861e+01dB,1.79738768696197e+02°)
6.60693448007591e+02	(1.20400439371132e+01dB,1.79732683868182e+02°)
6.76082975391976e+02	(1.20400416357635e+01dB,1.79726457308513e+02°)
6.91830970918931e+02	(1.20400392259558e+01dB,1.79720085715993e+02°)
7.07945784384132e+02	(1.20400367025787e+01dB,1.79713565712541e+02°)
7.24435960074984e+02	(1.20400340602799e+01dB,1.79706893841402e+02°)
7.41310241300911e+02	(1.20400312934551e+01dB,1.79700066565317e+02°)
7.58577575029177e+02	(1.20400283962356e+01dB,1.79693080264648e+02°)
7.76247116628685e+02	(1.20400253624763e+01dB,1.79685931235457e+02°)
7.94328234724275e+02	(1.20400221857424e+01dB,1.79678615687549e+02°)
8.12830516164092e+02	(1.20400188592960e+01dB,1.79671129742458e+02°)
8.31763771102664e+02	(1.20400153760815e+01dB,1.79663469431399e+02°)
8.51138038202369e+02	(1.20400117287110e+01dB,1.79655630693158e+02°)
8.70963589956073e+02	(1.20400079094482e+01dB,1.79647609371947e+02°)
8.91250938133738e+02	(1.20400039101925e+01dB,1.79639401215196e+02°)
9.12010839355902e+02	(1.20399997224614e+01dB,1.79631001871309e+02°)
9.33254300796983e+02	(1.20399953373727e+01dB,1.79622406887349e+02°)
9.54992586021428e+02	(1.20399907456255e+01dB,1.79613611706688e+02°)
9.77237220955802e+02	(1.20399859374808e+01dB,1.79604611666589e+02°)
9.99999999999991e+02	(1.20399809027404e+01dB,1.79595401995736e+02°)
1.02329299228075e+03	(1.20399756307260e+01dB,1.79585977811711e+02°)
1.04712854805089e+03	(1.20399701102555e+01dB,1.79576334118405e+02°)
1.07151930523760e+03	(1.20399643296203e+01dB,1.79566465803375e+02°)
1.09647819614318e+03	(1.20399582765598e+01dB,1.79556367635132e+02°)
1.12201845430195e+03	(1.20399519382359e+01dB,1.79546034260380e+02°)
1.14815362149687e+03	(1.20399453012051e+01dB,1.79535460201173e+02°)
1.17489755493952e+03	(1.20399383513909e+01dB,1.79524639852019e+02°)
1.20226443461740e+03	(1.20399310740531e+01dB,1.79513567476914e+02°)
1.23026877081237e+03	(1.20399234537572e+01dB,1.79502237206302e+02°)
1.25892541179416e+03	(1.20399154743411e+01dB,1.79490643033973e+02°)
1.28824955169312e+03	(1.20399071188814e+01dB,1.79478778813881e+02°)
1.31825673855640e+03	(1.20398983696570e+01dB,1.79466638256892e+02°)
1.34896288259164e+03	(1.20398892081121e+01dB,1.79454214927458e+02°)
1.38038426460287e+03	(1.20398796148161e+01dB,1.79441502240212e+02°)
1.41253754462274e+03	(1.20398695694232e+01dB,1.79428493456481e+02°)
1.44543977074591e+03	(1.20398590506287e+01dB,1.79415181680726e+02°)
1.47910838816819e+03	(1.20398480361242e+01dB,1.79401559856891e+02°)
1.51356124843619e+03	(1.20398365025500e+01dB,1.79387620764675e+02°)
1.54881661891247e+03	(1.20398244254457e+01dB,1.79373357015711e+02°)
1.58489319246110e+03	(1.20398117791987e+01dB,1.79358761049661e+02°)
1.62181009735891e+03	(1.20397985369892e+01dB,1.79343825130220e+02°)
1.65958690743754e+03	(1.20397846707339e+01dB,1.79328541341024e+02°)
1.69824365246173e+03	(1.20397701510264e+01dB,1.79312901581472e+02°)
1.73780082874936e+03	(1.20397549470746e+01dB,1.79296897562438e+02°)
1.77827941003891e+03	(1.20397390266359e+01dB,1.79280520801897e+02°)
1.81970085860997e+03	(1.20397223559483e+01dB,1.79263762620446e+02°)
1.86208713666285e+03	(1.20397048996594e+01dB,1.79246614136712e+02°)
1.90546071796323e+03	(1.20396866207510e+01dB,1.79229066262670e+02°)
1.94984459975803e+03	(1.20396674804611e+01dB,1.79211109698844e+02°)
1.99526231496886e+03	(1.20396474382014e+01dB,1.79192734929395e+02°)
2.04173794466951e+03	(1.20396264514715e+01dB,1.79173932217101e+02°)
2.08929613085402e+03	(1.20396044757689e+01dB,1.79154691598220e+02°)
2.13796208950221e+03	(1.20395814644943e+01dB,1.79135002877234e+02°)
2.18776162394953e+03	(1.20395573688537e+01dB,1.79114855621474e+02°)
2.23872113856832e+03	(1.20395321377541e+01dB,1.79094239155615e+02°)
2.29086765276775e+03	(1.20395057176958e+01dB,1.79073142556056e+02°)
2.34422881531990e+03	(1.20394780526592e+01dB,1.79051554645158e+02°)
2.39883291901947e+03	(1.20394490839857e+01dB,1.79029463985360e+02°)
2.45470891568501e+03	(1.20394187502537e+01dB,1.79006858873152e+02°)
2.51188643150955e+03	(1.20393869871487e+01dB,1.78983727332918e+02°)
2.57039578276884e+03	(1.20393537273267e+01dB,1.78960057110631e+02°)
2.63026799189535e+03	(1.20393189002722e+01dB,1.78935835667408e+02°)
2.69153480392689e+03	(1.20392824321482e+01dB,1.78911050172912e+02°)
2.75422870333814e+03	(1.20392442456404e+01dB,1.78885687498614e+02°)
2.81838293126442e+03	(1.20392042597935e+01dB,1.78859734210890e+02°)
2.88403150312658e+03	(1.20391623898395e+01dB,1.78833176563964e+02°)
2.95120922666635e+03	(1.20391185470187e+01dB,1.78806000492695e+02°)
3.01995172040198e+03	(1.20390726383917e+01dB,1.78778191605193e+02°)
3.09029543251356e+03	(1.20390245666426e+01dB,1.78749735175274e+02°)
3.16227766016835e+03	(1.20389742298735e+01dB,1.78720616134735e+02°)
3.23593656929625e+03	(1.20389215213886e+01dB,1.78690819065464e+02°)
3.31131121482588e+03	(1.20388663294683e+01dB,1.78660328191362e+02°)
3.38844156139199e+03	(1.20388085371339e+01dB,1.78629127370089e+02°)
3.46736850452528e+03	(1.20387480218990e+01dB,1.78597200084620e+02°)
3.54813389233572e+03	(1.20386846555116e+01dB,1.78564529434613e+02°)
3.63078054770097e+03	(1.20386183036821e+01dB,1.78531098127578e+02°)
3.71535229097168e+03	(1.20385488258001e+01dB,1.78496888469856e+02°)
3.80189396320557e+03	(1.20384760746371e+01dB,1.78461882357386e+02°)
3.89045144994276e+03	(1.20383998960349e+01dB,1.78426061266272e+02°)
3.98107170553493e+03	(1.20383201285811e+01dB,1.78389406243136e+02°)
4.07380277804108e+03	(1.20382366032668e+01dB,1.78351897895255e+02°)
4.16869383470331e+03	(1.20381491431308e+01dB,1.78313516380483e+02°)
4.26579518801588e+03	(1.20380575628854e+01dB,1.78274241396946e+02°)
4.36515832240161e+03	(1.20379616685255e+01dB,1.78234052172505e+02°)
4.46683592150958e+03	(1.20378612569193e+01dB,1.78192927453995e+02°)
4.57088189614870e+03	(1.20377561153796e+01dB,1.78150845496215e+02°)
