Freq.	V(vo)
5.12861383991361e+02	(1.51303432558336e+01dB,1.78286881819667e+02°)
5.24807460249769e+02	(1.51301638245516e+01dB,1.78247002081503e+02°)
5.37031796370249e+02	(1.51299759448775e+01dB,1.78206195133659e+02°)
5.49540873857620e+02	(1.51297792194167e+01dB,1.78164439500698e+02°)
5.62341325190345e+02	(1.51295732321193e+01dB,1.78121713215666e+02°)
5.75439937337152e+02	(1.51293575474088e+01dB,1.78077993809262e+02°)
5.88843655355584e+02	(1.51291317092691e+01dB,1.78033258298801e+02°)
6.02559586074353e+02	(1.51288952402898e+01dB,1.77987483176973e+02°)
6.16595001861477e+02	(1.51286476406674e+01dB,1.77940644400377e+02°)
6.30957344480188e+02	(1.51283883871604e+01dB,1.77892717377860e+02°)
6.45654229034650e+02	(1.51281169319954e+01dB,1.77843676958623e+02°)
6.60693448007591e+02	(1.51278327017236e+01dB,1.77793497420129e+02°)
6.76082975391976e+02	(1.51275350960242e+01dB,1.77742152455785e+02°)
6.91830970918931e+02	(1.51272234864528e+01dB,1.77689615162412e+02°)
7.07945784384132e+02	(1.51268972151322e+01dB,1.77635858027500e+02°)
7.24435960074984e+02	(1.51265555933827e+01dB,1.77580852916245e+02°)
7.41310241300911e+02	(1.51261979002904e+01dB,1.77524571058374e+02°)
7.58577575029177e+02	(1.51258233812090e+01dB,1.77466983034753e+02°)
7.76247116628685e+02	(1.51254312461937e+01dB,1.77408058763787e+02°)
7.94328234724275e+02	(1.51250206683630e+01dB,1.77347767487609e+02°)
8.12830516164092e+02	(1.51245907821862e+01dB,1.77286077758056e+02°)
8.31763771102664e+02	(1.51241406816925e+01dB,1.77222957422451e+02°)
8.51138038202369e+02	(1.51236694185991e+01dB,1.77158373609176e+02°)
8.70963589956073e+02	(1.51231760003536e+01dB,1.77092292713054e+02°)
8.91250938133738e+02	(1.51226593880887e+01dB,1.77024680380534e+02°)
9.12010839355902e+02	(1.51221184944833e+01dB,1.76955501494703e+02°)
9.33254300796983e+02	(1.51215521815277e+01dB,1.76884720160106e+02°)
9.54992586021428e+02	(1.51209592581880e+01dB,1.76812299687407e+02°)
9.77237220955802e+02	(1.51203384779654e+01dB,1.76738202577884e+02°)
9.99999999999991e+02	(1.51196885363462e+01dB,1.76662390507771e+02°)
1.02329299228075e+03	(1.51190080681373e+01dB,1.76584824312464e+02°)
1.04712854805089e+03	(1.51182956446836e+01dB,1.76505463970595e+02°)
1.07151930523760e+03	(1.51175497709608e+01dB,1.76424268587992e+02°)
1.09647819614318e+03	(1.51167688825395e+01dB,1.76341196381540e+02°)
1.12201845430195e+03	(1.51159513424150e+01dB,1.76256204662963e+02°)
1.14815362149687e+03	(1.51150954376973e+01dB,1.76169249822530e+02°)
1.17489755493952e+03	(1.51141993761553e+01dB,1.76080287312724e+02°)
1.20226443461740e+03	(1.51132612826102e+01dB,1.75989271631891e+02°)
1.23026877081237e+03	(1.51122791951710e+01dB,1.75896156307877e+02°)
1.25892541179416e+03	(1.51112510613062e+01dB,1.75800893881706e+02°)
1.28824955169312e+03	(1.51101747337462e+01dB,1.75703435891298e+02°)
1.31825673855640e+03	(1.51090479662080e+01dB,1.75603732855289e+02°)
1.34896288259164e+03	(1.51078684089373e+01dB,1.75501734256949e+02°)
1.38038426460287e+03	(1.51066336040596e+01dB,1.75397388528278e+02°)
1.41253754462274e+03	(1.51053409807341e+01dB,1.75290643034275e+02°)
1.44543977074591e+03	(1.51039878501024e+01dB,1.75181444057459e+02°)
1.47910838816819e+03	(1.51025714000254e+01dB,1.75069736782659e+02°)
1.51356124843619e+03	(1.51010886895993e+01dB,1.74955465282149e+02°)
1.54881661891247e+03	(1.50995366434453e+01dB,1.74838572501152e+02°)
1.58489319246110e+03	(1.50979120457626e+01dB,1.74719000243800e+02°)
1.62181009735891e+03	(1.50962115341383e+01dB,1.74596689159585e+02°)
1.65958690743754e+03	(1.50944315931056e+01dB,1.74471578730383e+02°)
1.69824365246173e+03	(1.50925685474424e+01dB,1.74343607258124e+02°)
1.73780082874936e+03	(1.50906185552014e+01dB,1.74212711853165e+02°)
1.77827941003891e+03	(1.50885776004648e+01dB,1.74078828423469e+02°)
1.81970085860997e+03	(1.50864414858135e+01dB,1.73941891664663e+02°)
1.86208713666285e+03	(1.50842058245046e+01dB,1.73801835051078e+02°)
1.90546071796323e+03	(1.50818660323474e+01dB,1.73658590827856e+02°)
1.94984459975803e+03	(1.50794173192712e+01dB,1.73512090004249e+02°)
1.99526231496886e+03	(1.50768546805758e+01dB,1.73362262348202e+02°)
2.04173794466951e+03	(1.50741728878586e+01dB,1.73209036382362e+02°)
2.08929613085402e+03	(1.50713664796091e+01dB,1.73052339381618e+02°)
2.13796208950221e+03	(1.50684297514660e+01dB,1.72892097372333e+02°)
2.18776162394953e+03	(1.50653567461281e+01dB,1.72728235133382e+02°)
2.23872113856832e+03	(1.50621412429141e+01dB,1.72560676199184e+02°)
2.29086765276775e+03	(1.50587767469665e+01dB,1.72389342864857e+02°)
2.34422881531990e+03	(1.50552564780923e+01dB,1.72214156193693e+02°)
2.39883291901947e+03	(1.50515733592391e+01dB,1.72035036027115e+02°)
2.45470891568501e+03	(1.50477200046019e+01dB,1.71851900997320e+02°)
2.51188643150955e+03	(1.50436887073585e+01dB,1.71664668542808e+02°)
2.57039578276884e+03	(1.50394714270328e+01dB,1.71473254927002e+02°)
2.63026799189535e+03	(1.50350597764863e+01dB,1.71277575260189e+02°)
2.69153480392689e+03	(1.50304450085386e+01dB,1.71077543525014e+02°)
2.75422870333814e+03	(1.50256180022216e+01dB,1.70873072605774e+02°)
2.81838293126442e+03	(1.50205692486711e+01dB,1.70664074321769e+02°)
2.88403150312658e+03	(1.50152888366631e+01dB,1.70450459464971e+02°)
2.95120922666635e+03	(1.50097664378049e+01dB,1.70232137842309e+02°)
3.01995172040198e+03	(1.50039912913911e+01dB,1.70009018322840e+02°)
3.09029543251356e+03	(1.49979521889400e+01dB,1.69781008890124e+02°)
3.16227766016835e+03	(1.49916374584267e+01dB,1.69548016700109e+02°)
3.23593656929625e+03	(1.49850349482329e+01dB,1.69309948144856e+02°)
3.31131121482588e+03	(1.49781320108387e+01dB,1.69066708922430e+02°)
3.38844156139199e+03	(1.49709154862807e+01dB,1.68818204113311e+02°)
3.46736850452528e+03	(1.49633716854105e+01dB,1.68564338263667e+02°)
3.54813389233572e+03	(1.49554863729878e+01dB,1.68305015475853e+02°)
3.63078054770097e+03	(1.49472447506481e+01dB,1.68040139506509e+02°)
3.71535229097168e+03	(1.49386314397910e+01dB,1.67769613872612e+02°)
3.80189396320557e+03	(1.49296304644386e+01dB,1.67493341965870e+02°)
3.89045144994276e+03	(1.49202252341207e+01dB,1.67211227175828e+02°)
3.98107170553493e+03	(1.49103985268476e+01dB,1.66923173022056e+02°)
4.07380277804108e+03	(1.49001324722411e+01dB,1.66629083295798e+02°)
4.16869383470331e+03	(1.48894085348953e+01dB,1.66328862211439e+02°)
4.26579518801588e+03	(1.48782074980517e+01dB,1.66022414568151e+02°)
4.36515832240161e+03	(1.48665094476768e+01dB,1.65709645922048e+02°)
4.46683592150958e+03	(1.48542937570381e+01dB,1.65390462769192e+02°)
4.57088189614870e+03	(1.48415390718842e+01dB,1.65064772739730e+02°)
