time	V(v1)	V(v2)	V(vo)
6.687199370707190e-04	-8.724037e-02	-8.724037e-02	4.799495e+00
6.826708299278619e-04	-9.122477e-02	-9.122477e-02	5.052757e+00
6.966217227850047e-04	-9.446345e-02	-9.446345e-02	5.264092e+00
7.105726156421476e-04	-9.695642e-02	-9.695642e-02	5.433500e+00
7.245235084992904e-04	-9.870367e-02	-9.870367e-02	5.560982e+00
7.384744013564334e-04	-9.970519e-02	-9.970519e-02	5.646536e+00
7.524252942135763e-04	-9.996101e-02	-9.996101e-02	5.690164e+00
7.663761870707191e-04	-9.947110e-02	-9.947110e-02	5.691864e+00
7.810246245707191e-04	-9.803362e-02	-9.803362e-02	5.640856e+00
7.956730620707191e-04	-9.583200e-02	-9.583200e-02	5.545221e+00
8.103214995707191e-04	-9.286624e-02	-9.286624e-02	5.404960e+00
8.249699370707191e-04	-8.913633e-02	-8.913633e-02	5.220073e+00
8.396183745707192e-04	-8.464228e-02	-8.464228e-02	4.990558e+00
8.542668120707192e-04	-7.938408e-02	-7.938408e-02	4.716417e+00
8.689152495707192e-04	-7.336173e-02	-7.336173e-02	4.397650e+00
8.807735084992906e-04	-6.801446e-02	-6.801446e-02	4.111083e+00
8.926317674278621e-04	-6.237287e-02	-6.237287e-02	3.806223e+00
9.044900263564335e-04	-5.643698e-02	-5.643698e-02	3.483067e+00
9.163482852850049e-04	-5.020678e-02	-5.020678e-02	3.141617e+00
9.282065442135764e-04	-4.368226e-02	-4.368226e-02	2.781872e+00
9.400648031421478e-04	-3.686344e-02	-3.686344e-02	2.403833e+00
9.519230620707193e-04	-2.975031e-02	-2.975031e-02	2.007499e+00
9.582009638564334e-04	-2.594716e-02	-2.594716e-02	1.794754e+00
9.644788656421478e-04	-2.211865e-02	-2.211865e-02	1.580057e+00
9.707567674278620e-04	-1.826477e-02	-1.826477e-02	1.363407e+00
9.770346692135762e-04	-1.438554e-02	-1.438554e-02	1.144804e+00
9.833125709992905e-04	-1.048095e-02	-1.048095e-02	9.242486e-01
9.895904727850045e-04	-6.550997e-03	-6.550997e-03	7.017401e-01
